bank,meeting_date,meeting_id,decision,rate_change_bps,policy_rate_after,confidence,override_reason,matched_excerpt
RIKSBANK,2022-06-01,RIKSBANK_2022_06_A,hike,,,0.75,strong hike keyword,"TEXT START ==== Monetary Policy Report, April 2022 Inflation has risen to the highest level since the 1990s and will be high for some time. To counteract the high inflation from becoming entrenched in price and wage-setting, the Executive Board has decided to raise the repo rate from zero to 0.25 per cent. The Board's forecast is that the repo rate will be raised gradually going forward and that it will be somewhat below 2 per cent in three years' time. The Executive Board has also decided to reduce the pace o"
RIKSBANK,2022-06-01,RIKSBANK_2022_06_C,hike,,,0.75,strong hike keyword,"has continued to rise rapidly and price increases are spreading through the economy. To ensure that inflation returns to the target and to counteract the high inflation becoming entrenched in price setting and wage formation, the Executive Board has decided to raise the policy rate from 0.25 per cent to 0.75 per cent. The Executive Board's forecast is that the policy rate will be raised further and that it will be close to 2 per cent at the start of next year. The Executive Board has also decided that, in the s"
RIKSBANK,2022-06-01,RIKSBANK_2022_06_D,hike,,,0.75,strong hike keyword,"s still far too high. The high inflation undermines purchasing power for many people and makes it more difficult for households and companies to plan their finances. To bring down inflation and safeguard the inflation target, the Executive Board has decided to raise the policy rate by 0.75 percentage points to 2.5 per cent. The forecast shows that the policy rate will probably be raised further at the beginning of next year and then be just below 3 per cent. It is still difficult to assess how inflation will de"
RIKSBANK,2026-06-01,RIKSBANK_2026_06,hold,0.0,,0.75,strong hold keyword,"g is handled in different parts of the world, the high share valuations of AI companies and, for municipalities, the demographic challenges resulting from a lower birth rate and an ageing population. “Our latest forecast is that the policy rate will remain at its current level for some time to come, but nothing is certain in a changing world” Updated 15/01/2026"
SNB,2025-12-11,SNB_2025_12,hold,0.0,,0.75,strong hold keyword,"ntelligence. Inflation remained elevated in the US. However, since the downside risks to employment have increased, monetary policy there has nonetheless been eased further. In the euro area, inflation was close to target and key interest rates were left unchanged. In our baseline scenario, we anticipate that growth in the global economy will be moderate over the coming quarters. Among the factors supporting this are the further monetary policy easing over the course of 2025, as well as more expansionary fisc"
BOE,2022-06-01,BOE_2022_06_B,hold,0.0,0.5,0.9,strong hold keyword,"of the forecast period (Chart 1.2). Monetary Policy Report February 2022 Section 1: The economic outlook 5 Chart 1.1: GDP projection based on market interest rate expectations, other policy measures as announced (1) The assumption is that Bank Rate remains at 0.5% throughout the three years of the forecast period, before moving towards the market path over the subsequent three years. Chart 1.2: GDP growth projection based on market interest rate expectations, other policy measures as announced The fan ch"
BOJ,2026-01-23,BOJ_2026_01,hold,0.0,,0.75,strong hold keyword,"ng held today, the Policy Board of the Bank of Japan decided, by an 8-1 majority vote, to set the following guideline for money market operations for the intermeeting period: [Note] The Bank will encourage the uncollateralized overnight call rate to remain at around 0.75 percent. [Note] Voting for the action: UEDA Kazuo, HIMINO Ryozo, UCHIDA Shinichi, NOGUCHI Asahi, NAKAGAWA Junko, TAMURA Naoki, KOEDA Junko, and MASU Kazuyuki. Voting against the action: TAKATA Hajime. Takata Hajime considered that the pr"
BOJ,2026-03-19,BOJ_2026_03,hold,0.0,,0.75,strong hold keyword,"held today, the Policy Board of the Bank of Japan decided, by an 8-1 majority vote, to set the following guideline for money market operations for the intermeeting period: [Note 1] The Bank will encourage the uncollateralized overnight call rate to remain at around 0.75 percent. 2. Japan's economy has recovered moderately, although some weakness has been seen in part. Overseas economies have grown moderately on the whole, although some weakness has been seen in part, reflecting trade and other policies"
BOJ,2026-04-28,BOJ_2026_04,hold,0.0,,0.75,strong hold keyword,"ing held today, the Policy Board of the Bank of Japan decided, by a 6-3 majority vote, to set the following guideline for money market operations for the intermeeting period: [Note] The Bank will encourage the uncollateralized overnight call rate to remain at around 0.75 percent. [Note] Voting for the action: UEDA Kazuo, HIMINO Ryozo, UCHIDA Shinichi, KOEDA Junko, MASU Kazuyuki, and ASADA Toichiro. Voting against the action: NAKAGAWA Junko, TAKATA Hajime, and TAMURA Naoki. Nakagawa Junko considered that,"
ECB,2021-01-21,ECB_2021_01,hold,0.0,,0.75,strong hold keyword,"erest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% wi"
ECB,2021-03-11,ECB_2021_03,hold,0.0,,0.75,strong hold keyword,"extended period of time past the date when we start raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. Third, the Governing Council decided to keep the key ECB interest rates unchanged. We expect them to remain at their present or lower levels until we have seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2 per cent within our projection horizon, and suc"
ECB,2021-04-22,ECB_2021_04,hold,0.0,,0.75,strong hold keyword,"erest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% wi"
ECB,2021-06-10,ECB_2021_06,hold,0.0,,0.75,strong hold keyword,"erest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% wi"
ECB,2021-07-22,ECB_2021_07,hold,0.0,,0.75,strong hold keyword,"in a persistently accommodative monetary policy stance to meet our inflation target. In support of our symmetric two per cent inflation target and in line with our monetary policy strategy, the Governing Council expects the key ECB interest rates to remain at their present or lower levels until we see inflation reaching two per cent well ahead of the end of our projection horizon and durably for the rest of the projection horizon, and we judge that realised progress in underlying inflation is sufficientl"
ECB,2021-10-28,ECB_2021_10,hold,0.0,,0.75,strong hold keyword,"still depend on favourable financing conditions for all sectors of the economy. Market interest rates have increased. Nevertheless, financing conditions for the economy remain favourable, not least because bank lending rates for firms and households remain at historically low levels. While there was a pick-up in September, lending to firms remains moderate. This continues to reflect the fact that firms generally need less external funding, since these have high cash holdings and are increasingly retainin"
ECB,2021-12-16,ECB_2021_12,hike,,,0.75,strong hike keyword,"lining from where we are at the moment. We did not want to have a transition that would be hurting, and we also need to continue this progress towards our target and arrive at target, which we are not at yet at this point, which is the reason why we decided to increase the volume of purchases under the APP, but to increase it with a decline over the course of quarter two, quarter three and quarter four. Now, we're not making any specific commitment, if you read carefully our statement. We land at €20 billion in Oc"
ECB,2022-03-10,ECB_2022_03,hold,0.0,,0.75,strong hold keyword,"st rates will continue to be determined by the Governing Council’s forward guidance and by its strategic commitment to stabilise inflation at two per cent over the medium term. Accordingly, the Governing Council expects the key ECB interest rates to remain at their present levels until it sees inflation reaching two per cent well ahead of the end of its projection horizon and durably for the rest of the projection horizon, and it judges that realised progress in underlying inflation is sufficiently advan"
ECB,2022-07-21,ECB_2022_07,hike,,,0.75,strong hike keyword,"dent and I welcome you to our press conference. Today, in line with our strong commitment to our price stability mandate, the Governing Council took further key steps to make sure inflation returns to our two per cent target over the medium term. We decided to raise the three key ECB interest rates by 50 basis points and approved the Transmission Protection Instrument (TPI). The Governing Council judged that it is appropriate to take a larger first step on its policy rate normalisation path than signalled at it"
ECB,2022-09-08,ECB_2022_09,hike,75.0,,0.85,explicit hike bps,"in part reflecting the need to finance high production costs and inventory building. Mortgage lending to households is moderating because of tightening credit standards, rising borrowing costs and weak consumer confidence. Conclusion Summing up, we raised the three key ECB interest rates by 75 basis points today, and expect to raise interest rates further, because inflation remains far too high and is likely to stay above our target for an extended period. This major step frontloads the transition from the prevailing highly accommodative level of poli"
ECB,2022-10-27,ECB_2022_10,hike,75.0,,0.85,explicit hike bps,"more concerned about the deteriorating outlook for the economy and the risks faced by their customers in the current environment. Banks expect to continue tightening their credit standards in the fourth quarter. Conclusion Summing up, today we have raised the three key ECB interest rates by 75 basis points, and expect to raise interest rates further, to ensure the timely return of inflation to our medium-term target. With this third major policy rate increase in a row, we have made substantial progress in withdrawing monetary policy accommodation. The"
ECB,2022-12-15,ECB_2022_12,hike,50.0,,0.85,explicit hike bps,"to reduce the side effects of tighter monetary policy on financial stability. Macroprudential policy remains the first line of defence in preserving financial stability and addressing medium-term vulnerabilities. Conclusion Summing up, we have today raised the three key ECB interest rates by 50 basis points and, based on the substantial upward revision to our inflation outlook, we expect to raise them further. In particular, we judge that interest rates will still have to rise significantly at a steady pace to reach levels that are sufficiently restric"
ECB,2023-05-04,ECB_2023_05,hike,,,0.75,strong hike keyword,"ipt of the questions and answers Good afternoon, the Vice-President and I welcome you to our press conference. The inflation outlook continues to be too high for too long. In light of the ongoing high inflation pressures, the Governing Council today decided to raise the three key ECB interest rates by 25 basis points. Overall, the incoming information broadly supports the assessment of the medium-term inflation outlook that we formed at our previous meeting. Headline inflation has declined over recent months, b"
ECB,2023-06-15,ECB_2023_06,hike,25.0,,0.85,explicit hike bps,"ave looked very much at data. We have revised our projection. We essentially did what we said we would do: data dependent and using the three elements of our reaction function to determine what was the right decision today. That is the reason why we increased all three rates by 25 basis points. Are we done? Have we finished the journey? No, we're not at destination. Do we still have ground to cover? Yes, we have ground to cover. I can even go further than that: I can tell you that, barring a material change to our baseline, it is very lik"
ECB,2023-09-14,ECB_2023_09,hike,,,0.75,strong hike keyword,"cline but is still expected to remain too high for too long. We are determined to ensure that inflation returns to our two per cent medium-term target in a timely manner. In order to reinforce progress towards our target, the Governing Council today decided to raise the three key ECB interest rates by 25 basis points. The rate increase today reflects our assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation, and the strength of monetary po"
ECB,2023-10-26,ECB_2023_10,hold,0.0,,0.75,strong hold keyword,"KER ROLE: SOURCE URL: https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.mp231026~6028cea576.en.html DOCUMENT TYPE: html ==== EXTRACTED TEXT START ==== PRESS RELEASE Monetary policy decisions 26 October 2023 The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information has broadly confirmed its previous assessment of the medium-term inflation outlook. Inflation is still expected to stay too high for too long, and domestic price pressures remain s"
ECB,2023-12-14,ECB_2023_12,hold,0.0,,0.75,strong hold keyword,"ER ROLE: SOURCE URL: https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.mp231214~9846e62f62.en.html DOCUMENT TYPE: html ==== EXTRACTED TEXT START ==== PRESS RELEASE Monetary policy decisions 14 December 2023 The Governing Council today decided to keep the three key ECB interest rates unchanged. While inflation has dropped in recent months, it is likely to pick up again temporarily in the near term. According to the latest Eurosystem staff projections for the euro area, inflation is expected to de"
ECB,2024-01-25,ECB_2024_01,hold,0.0,,0.75,strong hold keyword,"KER ROLE: SOURCE URL: https://www.ecb.europa.eu/press/pr/date/2024/html/ecb.mp240125~f738889bde.en.html DOCUMENT TYPE: html ==== EXTRACTED TEXT START ==== PRESS RELEASE Monetary policy decisions 25 January 2024 The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information has broadly confirmed its previous assessment of the medium-term inflation outlook. Aside from an energy-related upward base effect on headline inflation, the declining trend in un"
ECB,2024-03-07,ECB_2024_03,hold,0.0,,0.75,strong hold keyword,"PEAKER ROLE: SOURCE URL: https://www.ecb.europa.eu/press/pr/date/2024/html/ecb.mp240307~a5fa52b82b.en.html DOCUMENT TYPE: html ==== EXTRACTED TEXT START ==== PRESS RELEASE Monetary policy decisions 7 March 2024 The Governing Council today decided to keep the three key ECB interest rates unchanged. Since the last Governing Council meeting in January, inflation has declined further. In the latest ECB staff projections, inflation has been revised down, in particular for 2024 which mainly reflects a low"
ECB,2024-04-11,ECB_2024_04,hold,0.0,,0.75,strong hold keyword,"EAKER ROLE: SOURCE URL: https://www.ecb.europa.eu/press/pr/date/2024/html/ecb.mp240411~1345644915.en.html DOCUMENT TYPE: html ==== EXTRACTED TEXT START ==== PRESS RELEASE Monetary policy decisions 11 April 2024 The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information has broadly confirmed the Governing Council’s previous assessment of the medium-term inflation outlook. Inflation has continued to fall, led by lower food and goods price inflation"
ECB,2024-06-06,ECB_2024_06,hike,450.0,,0.85,explicit hike bps,"cuum. So I’ll take you back a little bit to our monetary policy cycle, to remind you that we have had two successive phases and we have made that decision. So the first phase, as you will remember, was a phase of very robust and rapid tightening. We tightened by 450 basis points between July 2022 and September 2023. Then we moved into a phase of holding from September 2023 up until today. And if we look back at those phases, during each of those phases we divided inflation by half. So if you look at the peak of inflation, i"
ECB,2024-07-18,ECB_2024_07,hold,0.0,,0.75,strong hold keyword,PEAKER ROLE: SOURCE URL: https://www.ecb.europa.eu/press/pr/date/2024/html/ecb.mp240718~b9e0ddd9d5.en.html DOCUMENT TYPE: html ==== EXTRACTED TEXT START ==== PRESS RELEASE Monetary policy decisions 18 July 2024 The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information broadly supports the Governing Council’s previous assessment of the medium-term inflation outlook. While some measures of underlying inflation ticked up in May owing to one-off fac
ECB,2024-09-12,ECB_2024_09,cut,-25.0,,0.85,explicit cut bps,"our instruments within our mandate to ensure that inflation returns to our medium-term target and to preserve the smooth functioning of monetary policy transmission. We are now ready to take your questions. * * * I have a question on the decision to cut by 25 basis points versus 50 basis points. Why did you go for 25? And my second question is: looking into the future, given that the Fed also is going to start to cut, the macroeconomic picture is gloomier than before. Inflation is coming back. Is the market right to"
ECB,2024-10-17,ECB_2024_10,cut,-25.0,,0.85,explicit cut bps,"n the US election. You mentioned trade tensions as a risk, but can you elaborate how you think a return of Donald Trump to the White House and his plan to impose tariffs will alter the outlook for growth and inflation in the euro area? We decided to cut all our rates by 25 basis points because we believe that the disinflationary process is well on track and all the information that we received in the last five weeks since our last monetary policy decision was heading in the same direction - lower! Whether you looked at inflation n"
ECB,2024-12-12,ECB_2024_12,cut,,,0.75,strong cut keyword,"of the ECB, Luis de Guindos, Vice-President of the ECB Frankfurt am Main, 12 December 2024 Jump to the transcript of the questions and answers Good afternoon, the Vice-President and I welcome you to our press conference. The Governing Council today decided to lower the three key ECB interest rates by 25 basis points. In particular, the decision to lower the deposit facility rate - the rate through which we steer the monetary policy stance - is based on our updated assessment of the inflation outlook, the dynam"
ECB,2025-01-30,ECB_2025_01,cut,-125.0,,0.85,explicit cut bps,"mate? Why did you lower the midpoint? What is the significance, if there is a significance, of this change? First of all, I just want to remind you that by lowering by 25 basis points today our three interest rates, particularly the DFR, we have now cut by 125 basis points relative to the high level where we were. Secondly, there was no discussion as to whether this decision was appropriate or not. It was a unanimous decision, so all governors supported the decision that was articulated by Philip Lane this morning of"
ECB,2025-03-06,ECB_2025_03,cut,,,0.75,strong cut keyword,"dent of the ECB, Luis de Guindos, Vice-President of the ECB Frankfurt am Main, 6 March 2025 Jump to the transcript of the questions and answers Good afternoon, the Vice-President and I welcome you to our press conference. The Governing Council today decided to lower the three key ECB interest rates by 25 basis points. In particular, the decision to lower the deposit facility rate - the rate through which we steer the monetary policy stance - is based on our updated assessment of the inflation outlook, the dynam"
ECB,2025-04-17,ECB_2025_04,cut,-25.0,,0.85,explicit cut bps,"fs, because there the jury seems to be still out, but you seem to rather err on the side of that it has disinflationary effects, if I’m reading through your statement. Perhaps you could tell me if I’m right? I can confirm to you that the decision to cut rates by 25 basis points was a unanimous decision. Options were debated, but there was no one to argue in favour of a 50-basis-point cut, for instance. So 25 basis points was definitely the rate cut on which all in the room agreed. I will happily address the issue of why we"
