bank,date_au,committee_score,committee_lean,number_of_speakers,number_of_documents,average_document_score
BOC,2024-05-30,0.0,neutral,1,1,0.0
BOC,2024-06-05,0.0,neutral,1,1,0.0
BOC,2024-06-07,0.0,neutral,1,1,-2.2189475010096187
BOC,2024-06-13,0.0,neutral,2,1,0.0
BOC,2024-06-24,0.0,neutral,3,1,0.0
BOC,2024-09-04,0.0,neutral,3,1,0.0
BOC,2024-09-10,0.0,neutral,3,1,0.0
BOC,2024-09-19,0.0,neutral,4,1,0.0
BOC,2024-09-20,0.0,neutral,4,1,0.0
BOC,2024-10-23,0.0,neutral,4,1,-1.4
BOC,2024-11-06,0.0,neutral,5,1,0.0
BOC,2024-11-26,0.0,neutral,6,1,0.0
BOC,2024-12-11,0.0,neutral,6,1,0.0
BOC,2024-12-16,0.0,neutral,6,1,0.0
BOC,2025-01-16,0.0,neutral,7,1,0.0
BOC,2025-01-29,0.0,neutral,7,1,-1.4
BOC,2025-02-21,0.0,neutral,7,1,0.0
BOC,2025-03-12,0.0,neutral,7,1,0.0
BOC,2025-03-20,0.0,neutral,7,1,0.0
BOC,2025-04-16,0.0,neutral,7,1,0.0
BOC,2025-06-04,0.0,neutral,7,1,0.0
BOC,2025-06-05,0.0,neutral,7,1,0.0
BOC,2025-06-18,0.0,neutral,7,1,0.0
BOC,2025-07-30,0.0,neutral,7,1,0.0
BOC,2025-08-26,0.0,neutral,7,1,0.0
BOC,2025-09-17,0.0,neutral,7,1,0.0
BOC,2025-09-23,0.0,neutral,7,1,0.0
BOC,2025-10-02,0.0,neutral,7,1,0.0
BOC,2025-10-09,0.0,neutral,7,1,0.0
BOC,2025-10-29,0.0,neutral,7,1,0.0
BOC,2025-11-19,0.0,neutral,7,1,0.0
BOC,2025-12-10,0.0,neutral,7,2,0.0
BOC,2025-12-16,0.0,neutral,7,1,0.0
BOC,2026-01-28,0.0,neutral,7,2,0.0
BOC,2026-02-05,0.0,neutral,7,1,0.0
BOC,2026-03-02,0.0,neutral,7,1,0.0
BOC,2026-03-18,0.0,neutral,7,2,0.0
BOC,2026-03-26,0.0,neutral,7,1,0.0
BOC,2026-04-29,0.0,neutral,7,3,0.0
BOC,2026-05-13,0.0,neutral,8,1,0.0
BOC,2026-05-26,0.0,neutral,8,1,0.0
BOC,2026-06-01,0.0,neutral,8,1,0.0
BOE,2021-06-01,0.17064088539735,neutral,28,73,-0.01835410962855651
BOE,2022-06-01,0.2701202304528356,neutral,42,72,0.3473140615002518
BOE,2023-06-01,0.16194448111121185,neutral,53,70,0.7544253572046706
BOE,2024-06-01,0.16114121407258508,neutral,58,60,0.20985176118179513
BOE,2025-06-01,0.041020627280131707,neutral,65,83,-0.04073086354821835
BOE,2026-06-01,0.0981002499951923,neutral,65,31,0.18819306452543427
BOJ,2021-02-03,1.4,leaning hawkish,1,1,1.4
BOJ,2021-02-15,0.29052624949519057,neutral,2,1,-0.8189475010096188
BOJ,2021-03-08,0.19368416633012706,neutral,3,1,0.0
BOJ,2021-03-12,0.24526312474759537,neutral,4,1,0.40000000000000036
BOJ,2021-03-16,0.1962104997980763,neutral,5,1,0.0
BOJ,2021-03-25,0.1962104997980763,neutral,5,1,0.0
BOJ,2021-03-26,0.16350874983173025,neutral,6,1,0.0
BOJ,2021-03-30,0.16350874983173025,neutral,6,1,0.0
BOJ,2021-05-19,0.2218420831650636,neutral,6,1,1.4
BOJ,2021-05-24,0.2101754164983969,neutral,6,1,0.0
BOJ,2021-05-26,0.38015035699862587,neutral,7,1,1.4
BOJ,2021-06-02,0.33263156237379765,neutral,8,1,0.0
BOJ,2021-06-08,0.29567249988782013,neutral,9,1,0.0
BOJ,2021-07-21,0.29567249988782013,neutral,9,1,0.0
BOJ,2021-07-27,0.31641324062856085,neutral,9,1,0.0
BOJ,2021-08-31,0.4074074074074074,neutral,9,1,0.0
BOJ,2021-09-01,0.42962962962962964,neutral,9,1,1.6
BOJ,2021-09-09,-0.016920092704772374,neutral,9,1,-3.618947501009618
BOJ,2021-09-27,0.009005833221153559,neutral,9,1,1.4
BOJ,2021-10-05,-0.016920092704772374,neutral,9,1,0.0
BOJ,2021-10-06,-0.02988305566773534,neutral,9,1,0.0
BOJ,2021-10-15,-0.02988305566773534,neutral,9,1,0.0
BOJ,2021-10-21,-0.026894750100961807,neutral,10,1,0.0
BOJ,2021-11-15,0.05437273322009588,neutral,10,1,3.250699332842307
BOJ,2021-11-29,0.031119236555884333,neutral,10,1,0.0
BOJ,2021-12-01,0.17111923655588432,neutral,10,1,1.4
BOJ,2021-12-02,0.39301398665684617,neutral,10,1,3.618947501009618
BOJ,2021-12-08,0.5330139866568462,neutral,10,1,1.4
BOJ,2021-12-23,0.5175116555473718,neutral,10,1,0.0
BOJ,2022-02-03,0.5556169054464097,neutral,10,1,1.9810524989903806
BOJ,2022-02-16,0.5556169054464097,neutral,10,1,0.0
BOJ,2022-03-07,0.5051062776785543,neutral,11,1,0.0
BOJ,2022-03-29,0.5800956817263982,neutral,11,2,1.5
BOJ,2022-03-31,0.9090909090909091,neutral,11,1,0.0
BOJ,2022-04-13,1.2545454545454542,leaning hawkish,11,2,1.9
BOJ,2022-04-23,1.3909090909090907,leaning hawkish,11,1,3.0
BOJ,2022-05-13,1.3878787878787877,leaning hawkish,11,1,1.4
BOJ,2022-05-25,1.3545454545454545,leaning hawkish,11,1,0.0
BOJ,2022-06-01,0.9727272727272727,neutral,11,1,-2.2189475010096187
BOJ,2022-06-06,0.978181818181818,neutral,11,1,1.4
BOJ,2022-06-09,0.978181818181818,neutral,11,1,1.4
BOJ,2022-07-28,0.7054545454545453,neutral,11,1,0.0
BOJ,2022-08-31,0.8327272727272724,neutral,11,1,1.4
BOJ,2022-09-05,1.0509090909090908,leaning hawkish,11,1,2.4
BOJ,2022-09-26,0.8181818181818182,neutral,11,1,-1.4
BOJ,2022-10-26,0.48918659081730737,neutral,11,1,-2.2189475010096187
BOJ,2022-11-14,0.5900478408631992,neutral,11,1,0.8189475010096188
BOJ,2022-11-15,0.5988516666054776,neutral,11,1,0.0
BOJ,2022-11-24,0.5988516666054776,neutral,11,1,0.0
BOJ,2022-11-27,0.5988516666054776,neutral,11,1,0.0
BOJ,2022-12-02,1.0505263194724892,leaning hawkish,12,1,6.0189475010096185
BOJ,2022-12-08,0.7338596528058225,neutral,12,1,0.0
BOJ,2022-12-14,0.617192986139156,neutral,12,1,0.0
BOJ,2022-12-22,0.8021052778899577,neutral,12,1,0.0
BOJ,2022-12-26,0.8409941667788464,neutral,12,1,0.0
BOJ,2023-02-02,0.8409941667788464,neutral,12,1,0.0
BOJ,2023-02-17,0.8409941667788464,neutral,12,2,0.0
BOJ,2023-02-28,0.8409941667788464,neutral,12,1,0.0
BOJ,2023-03-01,0.6686100001035507,neutral,13,1,-1.4
BOJ,2023-03-06,0.48399461548816597,neutral,13,1,0.0
BOJ,2023-03-08,0.34942357152472553,neutral,14,1,-1.4
BOJ,2023-03-28,0.329924821500687,neutral,14,1,0.0
BOJ,2023-05-19,0.30792983340064123,neutral,15,1,0.0
BOJ,2023-05-31,0.30792983340064123,neutral,15,1,0.0
BOJ,2023-06-27,0.49297938239513467,neutral,15,1,0.5567957339077836
BOJ,2023-06-29,0.49297938239513467,neutral,15,1,0.0
BOJ,2023-08-02,0.2762660935389809,neutral,15,1,-3.250699332842307
BOJ,2023-08-28,0.2762660935389809,neutral,15,1,0.0
BOJ,2023-09-05,0.22166959347167298,neutral,15,1,-2.2189475010096187
BOJ,2023-09-06,0.381669593471673,neutral,15,1,2.4
BOJ,2023-09-11,0.47500292680500633,neutral,15,1,0.0
BOJ,2023-09-12,0.327073093404365,neutral,15,1,-2.2189475010096187
BOJ,2023-09-25,0.327073093404365,neutral,15,1,0.0
BOJ,2023-09-30,0.327073093404365,neutral,15,1,0.0
BOJ,2023-10-19,0.4470730934043651,neutral,15,1,1.8
BOJ,2023-11-06,0.4237397600710317,neutral,15,1,-1.4
BOJ,2023-12-06,0.18745629169735573,neutral,16,2,-1.4
BOJ,2023-12-07,0.03745629169735576,neutral,16,1,0.0
BOJ,2023-12-25,0.05933129169735579,neutral,16,1,1.4
BOJ,2024-02-08,0.35,neutral,16,1,1.4
BOJ,2024-03-05,0.39374999999999993,neutral,16,1,0.0
BOJ,2024-03-06,0.3791666666666666,neutral,16,2,0.0
