meeting_id,bank,meeting_date,statement_score,minutes_score,press_conference_score,speech_avg_score,meeting_cycle_score,meeting_cycle_lean,documents_scored
BOC_2024_06_A,BOC,2024-06-05,0.0,,,,0.0,neutral,1
BOC_2024_06_B,BOC,2024-06-07,-2.2189475010096187,,,0.0,-1.8155025008260515,leaning dovish,3
BOC_2024_09,BOC,2024-09-04,0.0,,,0.0,0.0,neutral,4
BOC_2024_10,BOC,2024-10-23,-1.4,,,0.0,-1.1454545454545453,leaning dovish,3
BOC_2024_12,BOC,2024-12-11,0.0,,,0.0,0.0,neutral,3
BOC_2025_01,BOC,2025-01-29,-1.4,,,0.0,-1.1454545454545453,leaning dovish,2
BOC_2025_03,BOC,2025-03-12,0.0,,,0.0,0.0,neutral,2
BOC_2025_04,BOC,2025-04-16,0.0,,,,0.0,neutral,1
BOC_2025_06,BOC,2025-06-04,0.0,,,0.0,0.0,neutral,3
BOC_2025_07,BOC,2025-07-30,0.0,,,0.0,0.0,neutral,2
BOC_2025_09,BOC,2025-09-17,0.0,,,0.0,0.0,neutral,4
BOC_2025_10,BOC,2025-10-29,0.0,,,0.0,0.0,neutral,2
BOC_2025_12_A,BOC,2025-12-10,0.0,,,,0.0,neutral,1
BOC_2025_12_B,BOC,2025-12-10,0.0,,,0.0,0.0,neutral,2
BOC_2026_01_A,BOC,2026-01-28,0.0,,,,0.0,neutral,1
BOC_2026_01_B,BOC,2026-01-28,0.0,,,0.0,0.0,neutral,3
BOC_2026_03_A,BOC,2026-03-18,0.0,,,,0.0,neutral,1
BOC_2026_03_B,BOC,2026-03-18,0.0,,,0.0,0.0,neutral,2
BOC_2026_04_A,BOC,2026-04-29,0.0,,,,0.0,neutral,1
BOC_2026_04_B,BOC,2026-04-29,0.0,,,,0.0,neutral,1
BOC_2026_04_C,BOC,2026-04-29,0.0,,,0.0,0.0,neutral,4
BOE_2021_06_A,BOE,2021-06-01,1.0,,,,1.0,leaning hawkish,1
BOE_2021_06_B,BOE,2021-06-01,-2.2189475010096187,,,,-2.2189475010096187,leaning dovish,1
BOE_2021_06_C,BOE,2021-06-01,0.0,,,,0.0,neutral,1
BOE_2021_06_D,BOE,2021-06-01,0.0,,,-0.0017522101721015306,-0.00031858366765482373,neutral,70
BOE_2022_06_A,BOE,2022-06-01,0.7999999999999998,,,,0.7999999999999998,neutral,1
BOE_2022_06_B,BOE,2022-06-01,-2.0378950020192375,,,,-2.0378950020192375,leaning dovish,1
BOE_2022_06_C,BOE,2022-06-01,2.0,,,,2.0,leaning hawkish,1
BOE_2022_06_D,BOE,2022-06-01,-1.5019550008653866,,,0.37862444751327584,-1.1600314647965386,leaning dovish,69
BOE_2023_06_A,BOE,2023-06-01,6.803910001730775,,,,6.803910001730774,hawkish,1
BOE_2023_06_B,BOE,2023-06-01,7.886917501586543,,,,7.886917501586543,hawkish,1
BOE_2023_06_C,BOE,2023-06-01,5.0718800023077,,,,5.0718800023077,hawkish,1
BOE_2023_06_D,BOE,2023-06-01,4.384962500721156,,,0.4342743181512237,3.6666555584357132,hawkish,67
BOE_2024_06_A,BOE,2024-06-01,-1.8,,,,-1.8,leaning dovish,1
