bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction
BOC,Carolyn Rogers,2024-11-06,DOC_D1EC23BCC82A,0.0,0.0,0.0,,,stable
BOC,Carolyn Rogers,2025-10-09,DOC_21E7F276C289,0.0,0.0,0.0,,,stable
BOC,Carolyn Rogers,2026-03-26,DOC_E8A15D787C55,0.0,0.0,0.0,,,stable
BOC,Michelle Alexopoulos,2026-05-13,DOC_69448DDFD2A6,0.0,0.0,0.0,,,stable
BOC,Michelle Alexopoulos,2026-06-01,DOC_E933F85F2E4D,0.0,0.0,0.0,,,stable
BOC,Nicolas Vincent,2024-09-19,DOC_35F68B0A2842,0.0,0.0,0.0,,,stable
BOC,Nicolas Vincent,2025-11-19,DOC_626B3C0F1A44,0.0,0.0,0.0,,,stable
BOC,Nicolas Vincent,2026-05-26,DOC_84B3C030EACD,0.0,0.0,0.0,,,stable
BOC,Rhys Mendes,2024-11-26,DOC_75FF7BDDAB35,0.0,0.0,0.0,,,stable
BOC,Rhys Mendes,2025-10-02,DOC_F8EBEDC409CE,0.0,0.0,0.0,,,stable
BOC,Ron Morrow,2024-05-30,DOC_C1BBF3B252F0,0.0,0.0,0.0,,,stable
BOC,Sharon Kozicki,2024-06-13,DOC_8AFF2E066A0E,0.0,0.0,0.0,,,stable
BOC,Sharon Kozicki,2025-06-05,DOC_036A1141404C,0.0,0.0,0.0,,,stable
BOC,Sharon Kozicki,2026-03-02,DOC_0E7444F4C5EC,0.0,0.0,0.0,,,stable
BOC,Tiff Macklem,2024-06-24,DOC_9A58245B39AE,0.0,0.0,0.0,,,stable
BOC,Tiff Macklem,2024-09-10,DOC_81340A81C5C6,0.0,0.0,0.0,0.0,0.0,stable
BOC,Tiff Macklem,2024-09-20,DOC_CB49EE1844F4,0.0,0.0,0.0,0.0,0.0,stable
BOC,Tiff Macklem,2024-12-16,DOC_BA58AB581BA1,0.0,0.0,0.0,0.0,0.0,stable
BOC,Tiff Macklem,2025-02-21,DOC_57A84EB338D9,0.0,0.0,0.0,0.0,0.0,stable
BOC,Tiff Macklem,2025-03-20,DOC_D8CD47CB7994,0.0,0.0,0.0,,,stable
BOC,Tiff Macklem,2025-06-18,DOC_3D804668D246,0.0,0.0,0.0,0.0,0.0,stable
BOC,Tiff Macklem,2025-08-26,DOC_22CA8F5695EF,0.0,0.0,0.0,0.0,0.0,stable
BOC,Tiff Macklem,2025-09-23,DOC_C27419F82665,0.0,0.0,0.0,,,stable
BOC,Tiff Macklem,2025-12-16,DOC_71BD5422906E,0.0,0.0,0.0,0.0,0.0,stable
BOC,Tiff Macklem,2026-02-05,DOC_FC10D4B7BE42,0.0,0.0,0.0,0.0,0.0,stable
BOC,Toni Gravelle,2025-01-16,DOC_70B2EA7AAEFC,0.0,0.0,0.0,,,stable
BOE,Afua Kyei,2023-06-01,DOC_3D6ECBFB914D,0.0,0.0,0.0,,,stable
BOE,Afua Kyei,2023-06-01,DOC_B17DDCC63668,0.0,0.0,0.0,,,stable
BOE,Afua Kyei,2024-06-01,DOC_DEE7F7900C4E,0.0,0.0,0.0,,,stable
BOE,Afua Kyei,2025-06-01,DOC_29AEEEA99747,0.0,0.0,0.0,,,stable
BOE,Afua Kyei,2026-06-01,DOC_544565DEF587,2.0,2.0,2.0,,,stable
BOE,Alan Sheppard,2022-06-01,DOC_B7AA96CBD510,0.0,0.0,0.0,,,stable
BOE,Alan Taylor,2025-06-01,DOC_17F6175531B4,0.40000000000000013,0.40000000000000013,0.40000000000000013,,,stable
BOE,Alan Taylor,2025-06-01,DOC_A1C6CA4FEC08,-1.4,-0.4999999999999999,-0.4999999999999999,,,stable
BOE,Alan Taylor,2025-06-01,DOC_CA26CCFB4572,-1.4,-0.7999999999999998,-0.7999999999999998,,,stable
BOE,Alan Taylor,2025-06-01,DOC_D71B98DAD310,1.8,-0.1499999999999999,-0.1499999999999999,,,stable
BOE,Alan Taylor,2026-06-01,DOC_805DA74C5924,0.0,0.0,0.0,,,stable
BOE,Alan Taylor,2026-06-01,DOC_8B8ED2128977,0.0,0.0,0.0,,,stable
BOE,Alan Taylor,2026-06-01,DOC_B2275CC28FF3,0.0,0.0,0.0,,,stable
BOE,Alan Taylor,2026-06-01,DOC_D6FF1E320765,1.1359400011538505,0.28398500028846263,0.28398500028846263,,,stable
BOE,Andrea Rosen,2021-06-01,DOC_AB81B880F109,0.0,0.0,0.0,,,stable
BOE,Andrea Rosen,2022-06-01,DOC_452EA40585B1,0.0,0.0,0.0,,,stable
BOE,Andrea Rosen,2025-06-01,DOC_A93997EB53DF,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_06016EFDD2A9,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_16B45FE02E83,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_173D381AE8E1,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_2B832F5499C3,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_3709D88714D6,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_39808C843136,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_3C8F890050F1,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_3FF7400B8FB4,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_9CA17590528A,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_A12F817C22D1,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_B610D9A858CB,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_BB06D4033559,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_C53F15F3639B,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2021-06-01,DOC_FC280407CE6C,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2022-06-01,DOC_205C6C9D845A,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2022-06-01,DOC_4E48C8449878,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2022-06-01,DOC_63C7B6C98CCA,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2022-06-01,DOC_99AF56A0C473,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2022-06-01,DOC_BA1A86E745A8,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2023-06-01,DOC_0BC1D1D23F5A,0.0,0.6857142857142857,0.6857142857142857,,,stable
BOE,Andrew Bailey,2023-06-01,DOC_1F54AC775F4C,0.0,0.7999999999999999,0.7999999999999999,,,stable
BOE,Andrew Bailey,2023-06-01,DOC_28D4CC64D3E8,2.4,0.96,0.96,,,stable
BOE,Andrew Bailey,2023-06-01,DOC_42C73D4B7A27,2.2,0.875,0.875,,,stable
BOE,Andrew Bailey,2023-06-01,DOC_6B65047F1DCD,2.4,0.7999999999999999,0.7999999999999999,,,stable
BOE,Andrew Bailey,2023-06-01,DOC_A5DE657AB1B4,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2023-06-01,DOC_BEE1AFD723C0,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2023-06-01,DOC_F67F43B4660C,0.0,0.6,0.6,,,stable
BOE,Andrew Bailey,2024-06-01,DOC_34220A60C1F6,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2024-06-01,DOC_42B777968944,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2024-06-01,DOC_7624E5A73375,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2024-06-01,DOC_A9CAFD7FBA20,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2024-06-01,DOC_B0A85A1AA06D,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2024-06-01,DOC_B3552EBB1D85,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2024-06-01,DOC_C725E58E7E3C,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2025-06-01,DOC_1723974FB252,0.0,-0.11666666666666665,-0.11666666666666665,,,stable
BOE,Andrew Bailey,2025-06-01,DOC_1F2240F57BD8,0.0,-0.12727272727272726,-0.12727272727272726,,,stable
BOE,Andrew Bailey,2025-06-01,DOC_2013A2508D1D,-1.4,-0.13999999999999999,-0.13999999999999999,,,stable
BOE,Andrew Bailey,2025-06-01,DOC_21DC4A874C3E,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2025-06-01,DOC_272CA8FE7667,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2025-06-01,DOC_2E78BADDD57B,0.0,0.0,0.0,,,stable
BOE,Andrew Bailey,2025-06-01,DOC_4206DC8EF604,2.2,0.061538461538461556,0.061538461538461556,,,stable
BOE,Andrew Bailey,2025-06-01,DOC_43FBD3B65CE6,0.0,0.0,0.0,,,stable
