metric,value
total_documents_scored,2366
total_banks,10
total_speakers,476
total_meetings,268
most_hawkish_bank_latest,RBNZ
most_dovish_bank_latest,SNB
strongest_hawkish_speaker_shift,"{""alert_strength"": ""extreme"", ""bank"": ""RBA"", ""clipped_score"": 7.6, ""date_au"": ""2024-05-07"", ""doc_id"": ""DOC_469E123F4519"", ""prior_60d_score"": 0.0, ""rolling_30d_score"": 7.6, ""rolling_90d_score"": 2.533333333333333, ""shift_30_vs_prior_60"": 7.6, ""shift_direction"": ""hawkish shift"", ""speaker"": ""Michele Bullock""}"
strongest_dovish_speaker_shift,"{""alert_strength"": ""extreme"", ""bank"": ""ECB"", ""clipped_score"": -6.869646833851926, ""date_au"": ""2025-04-17"", ""doc_id"": ""DOC_F9AD1FCA6B84"", ""prior_60d_score"": -0.3935978345884648, ""rolling_30d_score"": -6.869646833851926, ""rolling_90d_score"": -2.552280834342952, ""shift_30_vs_prior_60"": -6.476048999263461, ""shift_direction"": ""dovish shift"", ""speaker"": ""Christine Lagarde, Luis de Guindos""}"
strongest_hawkish_meeting_shift,"{""bank"": ""BOE"", ""documents_scored"": 1, ""meeting_cycle_lean"": ""hawkish"", ""meeting_cycle_score"": 7.433985000288463, ""meeting_date"": ""2024-06-01"", ""meeting_id"": ""BOE_2024_06_B"", ""meeting_score_change"": 9.233985000288463, ""meeting_shift_classification"": ""hawkish shift"", ""previous_meeting_score"": -1.8, ""rolling_3_meeting_score"": 3.100213519574725, ""rolling_6_meeting_score"": 4.843891344058199}"
strongest_dovish_meeting_shift,"{""bank"": ""BOE"", ""documents_scored"": 1, ""meeting_cycle_lean"": ""neutral"", ""meeting_cycle_score"": 0.8869175015865447, ""meeting_date"": ""2024-06-01"", ""meeting_id"": ""BOE_2024_06_C"", ""meeting_score_change"": -6.547067498701919, ""meeting_shift_classification"": ""dovish shift"", ""previous_meeting_score"": 7.433985000288463, ""rolling_3_meeting_score"": 2.1736341672916697, ""rolling_6_meeting_score"": 3.8577259273674946}"
generated_at,2026-06-04T13:42:21.148903+00:00
