bank,date_au,daily_avg_score,rolling_30d_score,rolling_90d_score,rolling_180d_score,momentum_30_vs_90,momentum_classification,documents_count
BOC,2024-05-30,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2024-06-05,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2024-06-07,-2.2189475010096187,-0.7396491670032063,-0.7396491670032063,-0.7396491670032063,0.0,stable,1
BOC,2024-06-13,0.0,-0.5547368752524047,-0.5547368752524047,-0.5547368752524047,0.0,stable,1
BOC,2024-06-24,0.0,-0.44378950020192376,-0.44378950020192376,-0.44378950020192376,0.0,stable,1
BOC,2024-09-04,0.0,0.0,-0.5547368752524047,-0.36982458350160313,0.5547368752524047,stable,1
BOC,2024-09-10,0.0,0.0,0.0,-0.31699250014423125,0.0,stable,1
BOC,2024-09-19,0.0,0.0,0.0,-0.27736843762620234,0.0,stable,1
BOC,2024-09-20,0.0,0.0,0.0,-0.2465497223344021,0.0,stable,1
BOC,2024-10-23,-1.4,-1.4,-0.27999999999999997,-0.36189475010096184,-1.1199999999999999,dovish acceleration,1
BOC,2024-11-06,0.0,-0.7,-0.2333333333333333,-0.32899522736451076,-0.4666666666666667,stable,1
BOC,2024-11-26,0.0,0.0,-0.19999999999999998,-0.32899522736451076,0.19999999999999998,stable,1
BOC,2024-12-11,0.0,0.0,-0.2333333333333333,-0.15555555555555556,0.2333333333333333,stable,1
BOC,2024-12-16,0.0,0.0,-0.19999999999999998,-0.13999999999999999,0.19999999999999998,stable,1
BOC,2025-01-16,0.0,0.0,-0.2333333333333333,-0.13999999999999999,0.2333333333333333,stable,1
BOC,2025-01-29,-1.4,-0.7,-0.2333333333333333,-0.2545454545454545,-0.4666666666666667,stable,1
BOC,2025-02-21,0.0,-0.7,-0.2333333333333333,-0.2333333333333333,-0.4666666666666667,stable,1
BOC,2025-03-12,0.0,0.0,-0.27999999999999997,-0.2545454545454545,0.27999999999999997,stable,1
BOC,2025-03-20,0.0,0.0,-0.27999999999999997,-0.27999999999999997,0.27999999999999997,stable,1
BOC,2025-04-16,0.0,0.0,-0.27999999999999997,-0.2545454545454545,0.27999999999999997,stable,1
BOC,2025-06-04,0.0,0.0,0.0,-0.15555555555555556,0.0,stable,1
BOC,2025-06-05,0.0,0.0,0.0,-0.13999999999999999,0.0,stable,1
BOC,2025-06-18,0.0,0.0,0.0,-0.15555555555555556,0.0,stable,1
BOC,2025-07-30,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2025-08-26,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2025-09-17,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2025-09-23,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2025-10-02,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2025-10-09,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2025-10-29,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2025-11-19,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2025-12-10,0.0,0.0,0.0,0.0,0.0,stable,2
BOC,2025-12-16,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2026-01-28,0.0,0.0,0.0,0.0,0.0,stable,2
BOC,2026-02-05,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2026-03-02,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2026-03-18,0.0,0.0,0.0,0.0,0.0,stable,2
BOC,2026-03-26,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2026-04-29,0.0,0.0,0.0,0.0,0.0,stable,3
BOC,2026-05-13,0.0,0.0,0.0,0.0,0.0,stable,1
