rank,bank,latest_date,latest_30d_score,latest_90d_score,latest_meeting_score,momentum_30_vs_90,overall_current_score,current_lean
1,RBNZ,2026-05-26,0.4206806095520488,0.6599070276404169,0.4206806095520488,-0.2392264180883681,0.5402938185962328,neutral
2,NORGES_BANK,2026-05-21,0.7999999999999999,0.48,0.3,0.31999999999999995,0.49,neutral
3,BOJ,2026-05-27,0.0,0.41278721686886444,0.0,-0.41278721686886444,0.20639360843443222,neutral
4,BOE,2026-06-01,0.18819306452543427,0.18819306452543427,0.0347080877815288,0.0,0.14214757150226265,neutral
5,RBA,2026-06-02,0.01333333333333336,0.1246867187650241,0.1708333333333334,-0.11135338543169074,0.11626002604917875,neutral
6,BOC,2026-06-01,0.0,0.0,0.0,0.0,0.0,neutral
7,RIKSBANK,2026-06-01,0.0,0.0,0.0,0.0,0.0,neutral
8,FED,2026-05-31,-0.2768856189774725,0.018156893197890517,-0.157027680140696,-0.29504251217536304,-0.09340698123875804,neutral
9,ECB,2026-06-02,0.09090909090909083,-0.38392940227738337,-0.8016528925619832,0.4748384931864742,-0.4142787507254685,neutral
10,SNB,2025-12-11,-0.27999999999999997,-0.2333333333333333,-1.3999999999999997,-0.04666666666666666,-0.5926666666666665,neutral
