bank,document_subtype,category,document_count,average_score,median_score,max_score,min_score,zero_match_count,average_phrase_matches
BOC,speech,Speeches,26,0.0,0.0,0.0,0.0,26,0.0
BOC,statement,Monetary Policy,21,-0.23899750004807707,0.0,0.0,-2.2189475010096187,18,0.19047619047619047
BOE,speech,Speeches,367,0.17863103522738644,0.0,5.4,-4.2,292,0.4114441416893733
BOE,statement,Monetary Policy,22,1.1801534771683484,0.1490224995673064,7.886917501586543,-4.437895002019237,3,5.636363636363637
BOJ,other,Monetary Policy,8,0.5566165626622601,0.0,4.452932501298081,0.0,7,0.375
BOJ,speech,Speeches,153,0.0060154049210329585,0.0,6.0189475010096185,-3.9302968908806455,84,1.0
BOJ,statement,Monetary Policy,3,0.0,0.0,0.0,0.0,3,0.0
ECB,other,Press Conference Q&A,39,-2.4478659749130096,-2.2189475010096187,1.1810524989903817,-6.869646833851926,2,9.615384615384615
ECB,press_conference,Press Conference Q&A,4,0.3000000000000001,0.5000000000000001,1.6,-1.4,0,1.75
ECB,press_conference,Speeches,1,-1.4,-1.4,-1.4,-1.4,0,2.0
ECB,speech,Speeches,340,-0.246084172590249,0.0,3.6,-4.199999999999999,216,1.0029411764705882
ECB,statement,Monetary Policy,43,-1.135765000046959,-1.4,0.0,-3.6189475010096186,10,1.6744186046511629
FED,minutes,Minutes,43,-0.05741940054427258,-0.9999999999999998,5.60782000346155,-3.618947501009619,0,4.27906976744186
FED,speech,Speeches,469,0.1448931530538186,0.0,6.199999999999999,-4.8,325,0.6375266524520256
FED,statement,Monetary Policy,44,0.5545454545454546,0.0,2.2,-1.4,28,0.36363636363636365
NORGES_BANK,speech,Speeches,57,0.10526315789473684,0.0,2.4,0.0,54,0.05263157894736842
NORGES_BANK,statement,Monetary Policy,12,0.0,0.0,0.0,0.0,12,0.0
RBA,minutes,Minutes,52,0.5676138110483364,0.0,5.603910001730775,-2.8,13,1.6538461538461537
RBA,speech,Speeches,310,0.17487311542698558,0.0,8.418947501009619,-4.650699332842307,237,0.5451612903225806
RBA,statement,Monetary Policy,52,0.8625563942557324,0.0,4.6,-1.2,32,0.5
RBNZ,speech,Speeches,36,0.0894152083613783,0.0,2.4,-1.4,33,0.1111111111111111
RBNZ,statement,Monetary Policy,22,0.024198383740040543,0.0,3.3999999999999995,-4.120902501875007,4,3.772727272727273
RIKSBANK,speech,Speeches,135,0.1601403518593305,0.0,3.6,0.0,123,0.1111111111111111
RIKSBANK,statement,Monetary Policy,24,0.0,0.0,0.0,0.0,24,0.0
SNB,speech,Speeches,83,-0.016867469879518072,0.0,1.4,-1.4,80,0.03614457831325301
