meeting_id,bank,meeting_date,meeting_cycle_score,previous_meeting_score,meeting_score_change,rolling_3_meeting_score,rolling_6_meeting_score,meeting_cycle_lean,meeting_shift_classification,documents_scored
BOC_2024_06_A,BOC,2024-06-05,0.0,,,0.0,0.0,neutral,stable,1
BOC_2024_06_B,BOC,2024-06-07,-1.8155025008260517,0.0,-1.8155025008260517,-0.9077512504130258,-0.9077512504130258,leaning dovish,dovish shift,3
BOC_2024_09,BOC,2024-09-04,0.0,-1.8155025008260517,1.8155025008260517,-0.6051675002753506,-0.6051675002753506,neutral,hawkish shift,4
BOC_2024_10,BOC,2024-10-23,-1.1454545454545453,0.0,-1.1454545454545453,-0.9869856820935322,-0.7402392615701492,leaning dovish,dovish shift,3
BOC_2024_12,BOC,2024-12-11,0.0,-1.1454545454545453,1.1454545454545453,-0.3818181818181818,-0.5921914092561193,neutral,hawkish shift,3
BOC_2025_01,BOC,2025-01-29,-1.1454545454545453,0.0,-1.1454545454545453,-0.7636363636363636,-0.6844019319558571,leaning dovish,dovish shift,2
BOC_2025_03,BOC,2025-03-12,0.0,-1.1454545454545453,1.1454545454545453,-0.3818181818181818,-0.6844019319558571,neutral,hawkish shift,2
BOC_2025_04,BOC,2025-04-16,0.0,0.0,0.0,-0.3818181818181818,-0.3818181818181818,neutral,stable,1
BOC_2025_06,BOC,2025-06-04,0.0,0.0,0.0,0.0,-0.3818181818181818,neutral,stable,3
BOC_2025_07,BOC,2025-07-30,0.0,0.0,0.0,0.0,-0.1909090909090909,neutral,stable,2
BOC_2025_09,BOC,2025-09-17,0.0,0.0,0.0,0.0,-0.1909090909090909,neutral,stable,4
BOC_2025_10,BOC,2025-10-29,0.0,0.0,0.0,0.0,0.0,neutral,stable,2
BOC_2025_12_A,BOC,2025-12-10,0.0,0.0,0.0,0.0,0.0,neutral,stable,1
BOC_2025_12_B,BOC,2025-12-10,0.0,0.0,0.0,0.0,0.0,neutral,stable,2
BOC_2026_01_A,BOC,2026-01-28,0.0,0.0,0.0,0.0,0.0,neutral,stable,1
BOC_2026_01_B,BOC,2026-01-28,0.0,0.0,0.0,0.0,0.0,neutral,stable,3
BOC_2026_03_A,BOC,2026-03-18,0.0,0.0,0.0,0.0,0.0,neutral,stable,1
BOC_2026_03_B,BOC,2026-03-18,0.0,0.0,0.0,0.0,0.0,neutral,stable,2
BOC_2026_04_A,BOC,2026-04-29,0.0,0.0,0.0,0.0,0.0,neutral,stable,1
BOC_2026_04_B,BOC,2026-04-29,0.0,0.0,0.0,0.0,0.0,neutral,stable,1
BOC_2026_04_C,BOC,2026-04-29,0.0,0.0,0.0,0.0,0.0,neutral,stable,4
BOE_2021_06_A,BOE,2021-06-01,1.0,,,1.0,1.0,leaning hawkish,stable,1
BOE_2021_06_B,BOE,2021-06-01,-2.2189475010096187,1.0,-3.2189475010096187,-0.6094737505048093,-0.6094737505048093,leaning dovish,dovish shift,1
BOE_2021_06_C,BOE,2021-06-01,0.0,-2.2189475010096187,2.2189475010096187,-0.4063158336698729,-0.4063158336698729,neutral,hawkish shift,1
BOE_2021_06_D,BOE,2021-06-01,-0.0003185836676548,0.0,-0.0003185836676548,-0.7397553615590912,-0.30481652116931834,neutral,stable,70
BOE_2022_06_A,BOE,2022-06-01,0.7999999999999998,-0.0003185836676548,0.8003185836676546,0.26656047211078165,-0.08385321693545474,neutral,stable,1
BOE_2022_06_B,BOE,2022-06-01,-2.037895002019237,0.7999999999999998,-2.837895002019237,-0.4127378618956306,-0.4095268477827518,leaning dovish,dovish shift,1
BOE_2022_06_C,BOE,2022-06-01,2.0,-2.037895002019237,4.037895002019237,0.2540349993269209,-0.2428601811160851,leaning hawkish,hawkish shift,1
BOE_2022_06_D,BOE,2022-06-01,-1.1600314647965386,2.0,-3.1600314647965386,-0.3993088222719252,-0.06637417508057175,leaning dovish,dovish shift,69
BOE_2023_06_A,BOE,2023-06-01,6.803910001730774,-1.1600314647965386,7.963941466527313,2.5479595123114116,1.0676108252078906,hawkish,hawkish shift,1
BOE_2023_06_B,BOE,2023-06-01,7.886917501586543,6.803910001730774,1.0830074998557695,4.510265346173592,2.382150172750257,hawkish,hawkish shift,1
BOE_2023_06_C,BOE,2023-06-01,5.0718800023077,7.886917501586543,-2.8150374992788434,6.587569168541672,3.094130173134874,hawkish,dovish shift,1
BOE_2023_06_D,BOE,2023-06-01,3.666655558435713,5.0718800023077,-1.4052244438719872,5.541817687443319,4.044888599877365,hawkish,dovish shift,67
BOE_2024_06_A,BOE,2024-06-01,-1.8,3.666655558435713,-5.466655558435713,2.312845186914471,3.4115552665440325,leaning dovish,dovish shift,1
BOE_2024_06_B,BOE,2024-06-01,7.433985000288463,-1.8,9.233985000288463,3.100213519574725,4.843891344058199,hawkish,hawkish shift,1
BOE_2024_06_C,BOE,2024-06-01,0.8869175015865447,7.433985000288463,-6.547067498701919,2.1736341672916697,3.8577259273674946,neutral,dovish shift,1
BOE_2024_06_D,BOE,2024-06-01,-0.9286981703771552,0.8869175015865447,-1.8156156719637,2.464068110499284,2.3884566487068777,neutral,dovish shift,57
BOE_2025_06_A,BOE,2025-06-01,4.77618082852673,-0.9286981703771552,5.704878998903885,1.5781333865787064,2.339173453076716,hawkish,hawkish shift,1
BOE_2025_06_B,BOE,2025-06-01,-1.418947501009618,4.77618082852673,-6.195128329536348,0.8095117190466522,1.491572943169161,leaning dovish,dovish shift,1
BOE_2025_06_C,BOE,2025-06-01,-4.437895002019237,-1.418947501009618,-3.0189475010096194,-0.36022055816737514,1.0519237761659546,dovish,dovish shift,1
BOE_2025_06_D,BOE,2025-06-01,-0.6579976985040275,-4.437895002019237,3.77989730351521,-2.1716134005109606,-0.29674000696612723,neutral,hawkish shift,80
BOE_2026_06_A,BOE,2026-06-01,0.2980449991346128,-0.6579976985040275,0.9560426976386402,-1.5992825671295507,-0.3948854240414492,neutral,stable,1
BOE_2026_06_B,BOE,2026-06-01,0.0347080877815288,0.2980449991346128,-0.263336911353084,-0.10841487052929528,-0.23431771434833518,neutral,stable,30
BOJ_2026_01,BOJ,2026-01-23,0.1125783318733266,,,0.1125783318733266,0.1125783318733266,neutral,stable,7
BOJ_2026_03,BOJ,2026-03-19,0.0,0.1125783318733266,-0.1125783318733266,0.0562891659366633,0.0562891659366633,neutral,stable,1
BOJ_2026_04,BOJ,2026-04-28,0.0,0.0,0.0,0.0375261106244422,0.0375261106244422,neutral,stable,6
ECB_2021_01,ECB,2021-01-21,-0.3825029259408832,,,-0.3825029259408832,-0.3825029259408832,neutral,stable,11
ECB_2021_03,ECB,2021-03-11,-0.0426666666666666,-0.3825029259408832,0.33983625927421657,-0.21258479630377491,-0.21258479630377491,neutral,stable,7
ECB_2021_04,ECB,2021-04-22,0.16,-0.0426666666666666,0.2026666666666666,-0.0883898642025166,-0.0883898642025166,neutral,stable,9
ECB_2021_06,ECB,2021-06-10,0.4800000000000001,0.16,0.32000000000000006,0.19911111111111116,0.053707601848112574,neutral,stable,10
ECB_2021_07,ECB,2021-07-22,0.0,0.4800000000000001,-0.4800000000000001,0.21333333333333337,0.042966081478490056,neutral,stable,3
ECB_2021_09,ECB,2021-09-09,0.0,0.0,0.0,0.16000000000000003,0.035805067898741716,neutral,stable,19
ECB_2021_10,ECB,2021-10-28,0.0203207342838892,0.0,0.0203207342838892,0.0067735780946297335,0.10294234460287045,neutral,stable,15
ECB_2021_12,ECB,2021-12-16,0.0,0.0203207342838892,-0.0203207342838892,0.0067735780946297335,0.11005345571398156,neutral,stable,5
ECB_2022_02,ECB,2022-02-03,-0.068612443204764,0.0,-0.068612443204764,-0.01609723630695827,0.07195138184652088,neutral,stable,10
ECB_2022_03,ECB,2022-03-10,-1.2225071818548952,-0.068612443204764,-1.153894738650131,-0.43037320835321974,-0.211799815129295,leaning dovish,dovish shift,12
ECB_2022_04,ECB,2022-04-14,-1.2148760330578512,-1.2225071818548952,0.007631148797043963,-0.8353318860391701,-0.41427915397227016,leaning dovish,stable,13
ECB_2022_06,ECB,2022-06-09,0.004040404040404,-1.2148760330578512,1.2189164370982553,-0.8111142702907808,-0.4136057532988695,neutral,hawkish shift,11
ECB_2022_07,ECB,2022-07-21,-1.9064115917351423,0.004040404040404,-1.9104519957755464,-1.0390824069175297,-0.7347278076353748,leaning dovish,dovish shift,4
ECB_2022_09,ECB,2022-09-08,-1.0884374545244755,-1.9064115917351423,0.8179741372106668,-0.9969362140730711,-0.9161340500561206,leaning dovish,stable,12
ECB_2022_10,ECB,2022-10-27,-1.2162480578488557,-1.0884374545244755,-0.1278106033243802,-1.4036990347028244,-1.1074066524968025,leaning dovish,stable,13
ECB_2022_12,ECB,2022-12-15,-1.1454545454545453,-1.2162480578488557,0.07079351239431042,-1.1500466859426255,-1.0945645464300775,leaning dovish,stable,4
ECB_2023_02,ECB,2023-02-02,-1.247272727272727,-1.1454545454545453,-0.10181818181818181,-1.2029917768587093,-1.0999639954658902,leaning dovish,stable,7
ECB_2023_03,ECB,2023-03-16,-1.2575165151252912,-1.247272727272727,-0.010243787852564079,-1.2167479292841878,-1.3102234819935061,leaning dovish,stable,11
ECB_2023_05,ECB,2023-05-04,-1.0654545454545452,-1.2575165151252912,0.19206196967074596,-1.190081262617521,-1.1700639742800734,leaning dovish,stable,12
ECB_2023_06,ECB,2023-06-15,-1.359521534113855,-1.0654545454545452,-0.2940669886593097,-1.2274975315645635,-1.2152446542116364,leaning dovish,stable,10
ECB_2023_07,ECB,2023-07-27,-1.16253261214007,-1.359521534113855,0.19698892197378481,-1.19583623056949,-1.206292079926839,leaning dovish,stable,7
ECB_2023_09,ECB,2023-09-14,-1.161616161616161,-1.16253261214007,0.0009164505239089848,-1.227890102623362,-1.2089856826204415,leaning dovish,stable,11
ECB_2023_10,ECB,2023-10-26,-1.2063476894092366,-1.161616161616161,-0.04473152779307554,-1.1768321543884892,-1.2021648429765266,leaning dovish,stable,14
ECB_2023_12,ECB,2023-12-14,-1.2727272727272725,-1.2063476894092366,-0.06637958331803584,-1.2135637079175565,-1.2046999692435234,leaning dovish,stable,4
ECB_2024_01,ECB,2024-01-25,-1.2303030303030302,-1.2727272727272725,0.04242424242424225,-1.2364593308131797,-1.232174716718271,leaning dovish,stable,8
ECB_2024_03,ECB,2024-03-07,-1.012121212121212,-1.2303030303030302,0.21818181818181825,-1.1717171717171715,-1.1742746630528305,leaning dovish,stable,5
ECB_2024_04,ECB,2024-04-11,-1.3191461188952394,-1.012121212121212,-0.3070249067740274,-1.1871901204398272,-1.200376914178692,leaning dovish,stable,15
ECB_2024_06,ECB,2024-06-06,-1.2551196212427156,-1.3191461188952394,0.06402649765252377,-1.1954623174197223,-1.215960824116451,leaning dovish,stable,8
ECB_2024_07,ECB,2024-07-18,-1.2463157955004371,-1.2551196212427156,0.008803825742278448,-1.2735271785461306,-1.222622175131651,leaning dovish,stable,6
ECB_2024_09,ECB,2024-09-12,-1.2049586776859502,-1.2463157955004371,0.04135711781448692,-1.2354646981430344,-1.2113274092914308,leaning dovish,stable,13
ECB_2024_10,ECB,2024-10-17,-1.1485187140210449,-1.2049586776859502,0.056439963664905335,-1.1999310624024775,-1.1976966899110997,leaning dovish,stable,18
ECB_2024_12,ECB,2024-12-12,-1.2917703409549826,-1.1485187140210449,-0.14325162693393767,-1.2150825775539924,-1.2443048780500616,leaning dovish,stable,6
ECB_2025_01,ECB,2025-01-30,-1.0417115454073425,-1.2917703409549826,0.2500587955476401,-1.1606668667944566,-1.1980657824687455,leaning dovish,stable,7
ECB_2025_03,ECB,2025-03-06,-1.0939986363898602,-1.0417115454073425,-0.052287090982517714,-1.1424935075840617,-1.1712122849932696,leaning dovish,stable,9
ECB_2025_04,ECB,2025-04-17,-1.3231578977502183,-1.0939986363898602,-0.22915926136035814,-1.152956026515807,-1.1840193020348997,leaning dovish,stable,10
ECB_2025_06,ECB,2025-06-05,-1.2668771944556625,-1.3231578977502183,0.05628070329455581,-1.2280112428652468,-1.1943390548298518,leaning dovish,stable,15
ECB_2025_07,ECB,2025-07-24,-1.1454545454545453,-1.2668771944556625,0.12142264900111721,-1.2451632125534753,-1.1938283600687687,leaning dovish,stable,6
ECB_2025_09,ECB,2025-09-11,-1.2215174351042708,-1.1454545454545453,-0.07606288964972552,-1.2112830583381595,-1.1821195424269832,leaning dovish,stable,16
ECB_2025_10,ECB,2025-10-30,-1.227703352295673,-1.2215174351042708,-0.006185917191402268,-1.1982251109514963,-1.2131181769083719,leaning dovish,stable,10
ECB_2025_12,ECB,2025-12-18,-1.209090909090909,-1.227703352295673,0.018612443204764073,-1.2194372321636175,-1.2323002223585464,leaning dovish,stable,6
ECB_2026_02,ECB,2026-02-05,-1.170909090909091,-1.209090909090909,0.038181818181818095,-1.2025677840985576,-1.2069254212183587,leaning dovish,stable,12
ECB_2026_03,ECB,2026-03-19,-3.0432058531217248,-1.170909090909091,-1.8722967622126339,-1.8077352843739083,-1.5029801976627024,dovish,dovish shift,10
ECB_2026_04,ECB,2026-04-30,-0.8016528925619832,-3.0432058531217248,2.2415529605597415,-1.6719226121975996,-1.4456799221806087,neutral,hawkish shift,13
