bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction,alert_strength
BOJ,KURODA Haruhiko,2021-05-19,DOC_27CDB9E43CB7,1.4,0.35,1.4,0.0,1.4,hawkish shift,mild
BOJ,KURODA Haruhiko,2021-09-27,DOC_403C05FC1B98,1.4,0.7,1.4,0.0,1.4,hawkish shift,mild
BOJ,KURODA Haruhiko,2021-11-15,DOC_5D84D2EA9C4A,3.250699332842307,1.1626748332105767,3.250699332842307,0.4666666666666666,2.7840326661756403,hawkish shift,strong
BOJ,KURODA Haruhiko,2021-11-29,DOC_44B203BC95BC,0.0,0.9301398665684614,1.6253496664211535,0.4666666666666666,1.158682999754487,hawkish shift,mild
BOJ,KURODA Haruhiko,2021-12-23,DOC_F47BBF1394D9,0.0,0.7751165554737178,0.0,1.1626748332105767,-1.1626748332105767,dovish shift,mild
BOJ,KURODA Haruhiko,2022-05-13,DOC_C4FB6CF4322D,1.4,1.4666666666666668,2.2,0.0,2.2,hawkish shift,strong
BOJ,KURODA Haruhiko,2022-11-14,DOC_72F270B0B999,0.8189475010096188,-0.2905262494951905,0.8189475010096188,-1.4,2.2189475010096187,hawkish shift,strong
BOJ,KURODA Haruhiko,2022-11-15,DOC_FBA569C78520,0.0,-0.193684166330127,0.4094737505048094,-1.4,1.8094737505048093,hawkish shift,mild
BOJ,UEDA Kazuo,2023-11-06,DOC_29567292D2C0,-1.4,-0.35,-1.4,0.0,-1.4,dovish shift,mild
BOJ,UEDA Kazuo,2023-12-25,DOC_F5FEC48CEE43,1.4,0.0,1.4,-0.7,2.1,hawkish shift,strong
BOJ,UEDA Kazuo,2024-03-05,DOC_F90D030BD066,0.0,0.7,0.0,1.4,-1.4,dovish shift,mild
BOJ,UEDA Kazuo,2024-03-06,DOC_8355F6E9B80A,0.0,0.4666666666666666,0.0,1.4,-1.4,dovish shift,mild
BOJ,HIMINO Ryozo,2025-02-21,DOC_A309FD5ECABC,0.0,-0.7,0.0,-1.4,1.4,hawkish shift,mild
BOJ,UEDA Kazuo,2025-05-27,DOC_8DAA5C02D370,-1.4,-0.7,-1.4,0.0,-1.4,dovish shift,mild
BOJ,UEDA Kazuo,2025-06-03,DOC_2AE6C879DA04,-1.4,-1.4,-1.4,0.0,-1.4,dovish shift,mild
BOJ,UCHIDA Shinichi,2025-07-23,DOC_B9FED14FA787,-2.2189475010096187,-1.1094737505048091,-2.2189475010096187,0.0,-2.2189475010096187,dovish shift,strong
