meeting_id,bank,meeting_date,meeting_cycle_score,hawkometer_signal,hawkometer_signal_strength,decision,rate_change_bps,next_decision,next_rate_change_bps,same_meeting_direction_correct,next_meeting_direction_correct,absolute_error_bps,signal_hit_rate_by_bank,hit_rate_by_signal_type,validation_note
BOC_2024_06_A,BOC,2024-06-05,0.0,neutral,neutral,hold,0.0,cut,-25.0,True,False,0.0,0.8823529411764706,0.8,
BOC_2024_06_B,BOC,2024-06-07,-1.8155025008260517,dovish,dovish,cut,-25.0,hold,0.0,True,False,0.0,0.8823529411764706,0.12,
BOC_2024_09,BOC,2024-09-04,0.0,neutral,neutral,hold,0.0,cut,-50.0,True,False,0.0,0.8823529411764706,0.8,
BOC_2024_10,BOC,2024-10-23,-1.1454545454545453,dovish,dovish,cut,-50.0,hold,0.0,True,False,25.0,0.8823529411764706,0.12,
BOC_2024_12,BOC,2024-12-11,0.0,neutral,neutral,hold,0.0,cut,-25.0,True,False,0.0,0.8823529411764706,0.8,
BOC_2025_01,BOC,2025-01-29,-1.1454545454545453,dovish,dovish,cut,-25.0,hold,0.0,True,False,0.0,0.8823529411764706,0.12,
BOC_2025_03,BOC,2025-03-12,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.8823529411764706,0.8,
BOC_2025_04,BOC,2025-04-16,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.8823529411764706,0.8,
BOC_2025_06,BOC,2025-06-04,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.8823529411764706,0.8,
BOC_2025_07,BOC,2025-07-30,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.8823529411764706,0.8,
BOC_2025_09,BOC,2025-09-17,0.0,neutral,neutral,hold,0.0,cut,-25.0,True,False,0.0,0.8823529411764706,0.8,
BOC_2025_10,BOC,2025-10-29,0.0,neutral,neutral,cut,-25.0,hold,0.0,False,True,25.0,0.8823529411764706,0.8,
BOC_2025_12_A,BOC,2025-12-10,0.0,neutral,neutral,hold,0.0,unknown,,True,,0.0,0.8823529411764706,0.8,
BOC_2025_12_B,BOC,2025-12-10,0.0,neutral,neutral,unknown,,unknown,,,,,0.8823529411764706,0.8,
BOC_2026_01_A,BOC,2026-01-28,0.0,neutral,neutral,unknown,,cut,-25.0,,False,,0.8823529411764706,0.8,
BOC_2026_01_B,BOC,2026-01-28,0.0,neutral,neutral,cut,-25.0,hold,0.0,False,True,25.0,0.8823529411764706,0.8,
BOC_2026_03_A,BOC,2026-03-18,0.0,neutral,neutral,hold,0.0,unknown,,True,,0.0,0.8823529411764706,0.8,
BOC_2026_03_B,BOC,2026-03-18,0.0,neutral,neutral,unknown,,unknown,,,,,0.8823529411764706,0.8,
BOC_2026_04_A,BOC,2026-04-29,0.0,neutral,neutral,unknown,,hold,0.0,,True,,0.8823529411764706,0.8,
BOC_2026_04_B,BOC,2026-04-29,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.8823529411764706,0.8,
BOC_2026_04_C,BOC,2026-04-29,0.0,neutral,neutral,hold,0.0,,,True,,0.0,0.8823529411764706,0.8,
BOE_2021_06_A,BOE,2021-06-01,1.0,hawkish,hawkish,hold,0.0,hike,34.0,False,True,25.0,0.5,0.3333333333333333,
BOE_2021_06_B,BOE,2021-06-01,-2.2189475010096187,dovish,dovish,hike,34.0,hold,0.0,False,False,59.0,0.5,0.12,
BOE_2021_06_C,BOE,2021-06-01,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.5,0.8,
BOE_2021_06_D,BOE,2021-06-01,-0.0003185836676548,neutral,neutral,hold,0.0,hike,75.0,True,False,0.0,0.5,0.8,
BOE_2022_06_A,BOE,2022-06-01,0.7999999999999998,neutral,neutral,hike,75.0,hold,0.0,False,True,75.0,0.5,0.8,
BOE_2022_06_B,BOE,2022-06-01,-2.037895002019237,dovish,dovish,hold,0.0,hike,25.0,False,False,25.0,0.5,0.12,
BOE_2022_06_C,BOE,2022-06-01,2.0,hawkish,hawkish,hike,25.0,hike,75.0,True,True,0.0,0.5,0.3333333333333333,
BOE_2022_06_D,BOE,2022-06-01,-1.1600314647965386,dovish,dovish,hike,75.0,hike,25.0,False,False,100.0,0.5,0.12,
BOE_2023_06_A,BOE,2023-06-01,6.803910001730774,hawkish,strong_hawkish,hike,25.0,hike,50.0,True,True,0.0,0.5,0.3333333333333333,
BOE_2023_06_B,BOE,2023-06-01,7.886917501586543,hawkish,strong_hawkish,hike,50.0,hike,25.0,True,True,25.0,0.5,0.3333333333333333,
BOE_2023_06_C,BOE,2023-06-01,5.0718800023077,hawkish,strong_hawkish,hike,25.0,hike,25.0,True,True,0.0,0.5,0.3333333333333333,
BOE_2023_06_D,BOE,2023-06-01,3.666655558435713,hawkish,strong_hawkish,hike,25.0,cut,-25.0,True,False,0.0,0.5,0.3333333333333333,
BOE_2024_06_A,BOE,2024-06-01,-1.8,dovish,dovish,cut,-25.0,hold,0.0,True,False,0.0,0.5,0.12,
BOE_2024_06_B,BOE,2024-06-01,7.433985000288463,hawkish,strong_hawkish,hold,0.0,hold,0.0,False,False,25.0,0.5,0.3333333333333333,
BOE_2024_06_C,BOE,2024-06-01,0.8869175015865447,neutral,neutral,hold,0.0,cut,-50.0,True,False,0.0,0.5,0.8,
BOE_2024_06_D,BOE,2024-06-01,-0.9286981703771552,neutral,neutral,cut,-50.0,hold,0.0,False,True,50.0,0.5,0.8,
BOE_2025_06_A,BOE,2025-06-01,4.77618082852673,hawkish,strong_hawkish,hold,0.0,hike,150.0,False,True,25.0,0.5,0.3333333333333333,
BOE_2025_06_B,BOE,2025-06-01,-1.418947501009618,dovish,dovish,hike,150.0,hold,0.0,False,False,175.0,0.5,0.12,
BOE_2025_06_C,BOE,2025-06-01,-4.437895002019237,dovish,strong_dovish,hold,0.0,hold,0.0,False,False,25.0,0.5,0.12,
BOE_2025_06_D,BOE,2025-06-01,-0.6579976985040275,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.5,0.8,
BOE_2026_06_A,BOE,2026-06-01,0.2980449991346128,neutral,neutral,hold,0.0,cut,-150.0,True,False,0.0,0.5,0.8,
BOE_2026_06_B,BOE,2026-06-01,0.0347080877815288,neutral,neutral,cut,-150.0,,,False,,150.0,0.5,0.8,
BOJ_2026_01,BOJ,2026-01-23,0.1125783318733266,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,1.0,0.8,
BOJ_2026_03,BOJ,2026-03-19,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,1.0,0.8,
BOJ_2026_04,BOJ,2026-04-28,0.0,neutral,neutral,hold,0.0,,,True,,0.0,1.0,0.8,
ECB_2021_01,ECB,2021-01-21,-0.3825029259408832,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2021_03,ECB,2021-03-11,-0.0426666666666666,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2021_04,ECB,2021-04-22,0.16,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2021_06,ECB,2021-06-10,0.4800000000000001,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2021_07,ECB,2021-07-22,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2021_09,ECB,2021-09-09,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2021_10,ECB,2021-10-28,0.0203207342838892,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2021_12,ECB,2021-12-16,0.0,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2022_02,ECB,2022-02-03,-0.068612443204764,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2022_03,ECB,2022-03-10,-1.2225071818548952,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2022_04,ECB,2022-04-14,-1.2148760330578512,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2022_06,ECB,2022-06-09,0.004040404040404,neutral,neutral,hold,0.0,hold,0.0,True,True,0.0,0.2558139534883721,0.8,
ECB_2022_07,ECB,2022-07-21,-1.9064115917351423,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2022_09,ECB,2022-09-08,-1.0884374545244755,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2022_10,ECB,2022-10-27,-1.2162480578488557,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2022_12,ECB,2022-12-15,-1.1454545454545453,dovish,dovish,hold,0.0,hike,50.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2023_02,ECB,2023-02-02,-1.247272727272727,dovish,dovish,hike,50.0,hike,50.0,False,False,75.0,0.2558139534883721,0.12,
ECB_2023_03,ECB,2023-03-16,-1.2575165151252912,dovish,dovish,hike,50.0,hold,0.0,False,False,75.0,0.2558139534883721,0.12,
ECB_2023_05,ECB,2023-05-04,-1.0654545454545452,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2023_06,ECB,2023-06-15,-1.359521534113855,dovish,dovish,hold,0.0,hike,25.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2023_07,ECB,2023-07-27,-1.16253261214007,dovish,dovish,hike,25.0,hold,0.0,False,False,50.0,0.2558139534883721,0.12,
ECB_2023_09,ECB,2023-09-14,-1.161616161616161,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2023_10,ECB,2023-10-26,-1.2063476894092366,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2023_12,ECB,2023-12-14,-1.2727272727272725,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2024_01,ECB,2024-01-25,-1.2303030303030302,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2024_03,ECB,2024-03-07,-1.012121212121212,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2024_04,ECB,2024-04-11,-1.3191461188952394,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2024_06,ECB,2024-06-06,-1.2551196212427156,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2024_07,ECB,2024-07-18,-1.2463157955004371,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2024_09,ECB,2024-09-12,-1.2049586776859502,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
ECB_2024_10,ECB,2024-10-17,-1.1485187140210449,dovish,dovish,hold,0.0,hold,0.0,False,False,25.0,0.2558139534883721,0.12,
