meeting_id,bank,meeting_date,meeting_cycle_score,meeting_score_change,rolling_3_meeting_score,rolling_6_meeting_score,rolling_3_score_change,rolling_6_score_change,shift_signal,next_decision,next_rate_change_bps,next_decision_alignment,next_rate_change_alignment,score_change_bucket,validation_note
BOC_2024_06_A,BOC,2024-06-05,0.0,,0.0,0.0,,,stable,cut,-25.0,False,False,,
BOC_2024_06_B,BOC,2024-06-07,-1.8155025008260517,-1.815502500826052,-0.9077512504130258,-0.9077512504130258,-0.9077512504130258,-0.9077512504130258,dovish_shift,hold,0.0,False,False,-2.5 to -1.0,
BOC_2024_09,BOC,2024-09-04,0.0,1.815502500826052,-0.6051675002753506,-0.6051675002753506,0.30258375013767524,0.30258375013767524,hawkish_shift,cut,-50.0,False,False,1.0 to 2.5,
BOC_2024_10,BOC,2024-10-23,-1.1454545454545453,-1.1454545454545453,-0.9869856820935322,-0.7402392615701492,-0.3818181818181816,-0.1350717612947986,dovish_shift,hold,0.0,False,False,-2.5 to -1.0,
BOC_2024_12,BOC,2024-12-11,0.0,1.1454545454545453,-0.3818181818181818,-0.5921914092561193,0.6051675002753505,0.14804785231402984,hawkish_shift,cut,-25.0,False,False,1.0 to 2.5,
BOC_2025_01,BOC,2025-01-29,-1.1454545454545453,-1.1454545454545453,-0.7636363636363636,-0.6844019319558571,-0.3818181818181818,-0.09221052269973773,dovish_shift,hold,0.0,False,False,-2.5 to -1.0,
BOC_2025_03,BOC,2025-03-12,0.0,1.1454545454545453,-0.3818181818181818,-0.6844019319558571,0.3818181818181818,0.0,hawkish_shift,hold,0.0,False,False,1.0 to 2.5,
BOC_2025_04,BOC,2025-04-16,0.0,0.0,-0.3818181818181818,-0.3818181818181818,0.0,0.3025837501376753,stable,hold,0.0,True,True,-1.0 to 1.0,
BOC_2025_06,BOC,2025-06-04,0.0,0.0,0.0,-0.3818181818181818,0.3818181818181818,0.0,stable,hold,0.0,True,True,-1.0 to 1.0,
BOC_2025_07,BOC,2025-07-30,0.0,0.0,0.0,-0.1909090909090909,0.0,0.1909090909090909,stable,hold,0.0,True,True,-1.0 to 1.0,
BOC_2025_09,BOC,2025-09-17,0.0,0.0,0.0,-0.1909090909090909,0.0,0.0,stable,cut,-25.0,False,False,-1.0 to 1.0,
BOC_2025_10,BOC,2025-10-29,0.0,0.0,0.0,0.0,0.0,0.1909090909090909,stable,hold,0.0,True,True,-1.0 to 1.0,
BOC_2025_12_A,BOC,2025-12-10,0.0,0.0,0.0,0.0,0.0,0.0,stable,unknown,,False,,-1.0 to 1.0,
BOC_2025_12_B,BOC,2025-12-10,0.0,0.0,0.0,0.0,0.0,0.0,stable,unknown,,False,,-1.0 to 1.0,
BOC_2026_01_A,BOC,2026-01-28,0.0,0.0,0.0,0.0,0.0,0.0,stable,cut,-25.0,False,False,-1.0 to 1.0,
BOC_2026_01_B,BOC,2026-01-28,0.0,0.0,0.0,0.0,0.0,0.0,stable,hold,0.0,True,True,-1.0 to 1.0,
BOC_2026_03_A,BOC,2026-03-18,0.0,0.0,0.0,0.0,0.0,0.0,stable,unknown,,False,,-1.0 to 1.0,
BOC_2026_03_B,BOC,2026-03-18,0.0,0.0,0.0,0.0,0.0,0.0,stable,unknown,,False,,-1.0 to 1.0,
BOC_2026_04_A,BOC,2026-04-29,0.0,0.0,0.0,0.0,0.0,0.0,stable,hold,0.0,True,True,-1.0 to 1.0,
BOC_2026_04_B,BOC,2026-04-29,0.0,0.0,0.0,0.0,0.0,0.0,stable,hold,0.0,True,True,-1.0 to 1.0,
BOC_2026_04_C,BOC,2026-04-29,0.0,0.0,0.0,0.0,0.0,0.0,stable,,,,,-1.0 to 1.0,
BOE_2021_06_A,BOE,2021-06-01,1.0,,1.0,1.0,,,stable,hike,34.0,False,False,,
BOE_2021_06_B,BOE,2021-06-01,-2.2189475010096187,-3.2189475010096187,-0.6094737505048093,-0.6094737505048093,-1.6094737505048093,-1.6094737505048093,dovish_shift,hold,0.0,False,False,<= -2.5,
BOE_2021_06_C,BOE,2021-06-01,0.0,2.2189475010096187,-0.4063158336698729,-0.4063158336698729,0.20315791683493645,0.20315791683493645,hawkish_shift,hold,0.0,False,False,1.0 to 2.5,
BOE_2021_06_D,BOE,2021-06-01,-0.0003185836676548,-0.0003185836676548,-0.7397553615590912,-0.3048165211693183,-0.33343952788921827,0.1014993125005546,stable,hike,75.0,False,False,-1.0 to 1.0,
BOE_2022_06_A,BOE,2022-06-01,0.7999999999999998,0.8003185836676546,0.2665604721107816,-0.0838532169354547,1.0063158336698728,0.2209633042338636,stable,hold,0.0,True,True,-1.0 to 1.0,
BOE_2022_06_B,BOE,2022-06-01,-2.037895002019237,-2.837895002019237,-0.4127378618956306,-0.4095268477827518,-0.6792983340064123,-0.32567363084729706,dovish_shift,hike,25.0,False,False,<= -2.5,
BOE_2022_06_C,BOE,2022-06-01,2.0,4.037895002019237,0.2540349993269209,-0.2428601811160851,0.6667728612225515,0.16666666666666669,hawkish_shift,hike,75.0,True,True,>= 2.5,
BOE_2022_06_D,BOE,2022-06-01,-1.1600314647965386,-3.160031464796538,-0.3993088222719252,-0.0663741750805717,-0.6533438215988461,0.1764860060355134,dovish_shift,hike,25.0,False,False,<= -2.5,
BOE_2023_06_A,BOE,2023-06-01,6.803910001730774,7.963941466527313,2.547959512311412,1.0676108252078906,2.9472683345833373,1.1339850002884624,hawkish_shift,hike,50.0,True,True,>= 2.5,
BOE_2023_06_B,BOE,2023-06-01,7.886917501586543,1.0830074998557695,4.510265346173592,2.382150172750257,1.9623058338621804,1.3145393475423663,hawkish_shift,hike,25.0,True,True,1.0 to 2.5,
BOE_2023_06_C,BOE,2023-06-01,5.0718800023077,-2.8150374992788434,6.587569168541672,3.094130173134874,2.07730382236808,0.7119800003846168,dovish_shift,hike,25.0,False,False,<= -2.5,
BOE_2023_06_D,BOE,2023-06-01,3.666655558435713,-1.4052244438719872,5.541817687443319,4.044888599877365,-1.0457514810983533,0.9507584267424911,dovish_shift,cut,-25.0,True,True,-2.5 to -1.0,
BOE_2024_06_A,BOE,2024-06-01,-1.8,-5.466655558435713,2.312845186914471,3.4115552665440325,-3.2289725005288483,-0.6333333333333324,dovish_shift,hold,0.0,False,False,<= -2.5,
BOE_2024_06_B,BOE,2024-06-01,7.433985000288463,9.233985000288463,3.100213519574725,4.843891344058199,0.7873683326602543,1.4323360775141665,hawkish_shift,hold,0.0,False,False,>= 2.5,
BOE_2024_06_C,BOE,2024-06-01,0.8869175015865447,-6.547067498701919,2.1736341672916697,3.857725927367495,-0.9265793522830554,-0.9861654166907039,dovish_shift,cut,-50.0,True,True,<= -2.5,
