meeting_id,bank,meeting_date,doc_id,document_subtype,category,title,speaker,date_au,days_after_meeting,text_file,source_url,meeting_relation,linkage_confidence
BOC_2024_06_A,BOC,2024-06-05,DOC_F1EAD218ED7F,statement,Monetary Policy,Bank of Canada Interest Rate Announcement,,2024-06-05,0,data\BOC\Monetary Policy\2024-06-05 - Bank of Canada Interest Rate Announcement.txt,https://www.bankofcanada.ca/2024/06/bank-canada-interest-rate-announcement-june-5-2024/,anchor_statement,1.0
BOC_2024_06_B,BOC,2024-06-07,DOC_DDE4C277C3C8,statement,Monetary Policy,Monetary Policy Report,,2024-06-07,0,data\BOC\Monetary Policy\2024-06-07 - Monetary Policy Report.txt,https://www.bankofcanada.ca/publications/mpr/mpr-2024-07/,anchor_statement,1.0
BOC_2024_06_B,BOC,2024-06-07,DOC_8AFF2E066A0E,speech,Speeches,"Speech by Sharon Kozicki, Deputy Governor of the Bank of Canada",Sharon Kozicki,2024-06-13,6,"data\BOC\Speeches\2024-06-13 - Sharon Kozicki - Speech by Sharon Kozicki, Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2024/06/speech-sharon-kozicki-june-13-2024/,speech_after_meeting,0.7
BOC_2024_06_B,BOC,2024-06-07,DOC_9A58245B39AE,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2024-06-24,17,"data\BOC\Speeches\2024-06-24 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2024/06/speech-tiff-macklem-june-24-2024/,speech_after_meeting,0.7
BOC_2024_09,BOC,2024-09-04,DOC_01B6D5B757F1,statement,Monetary Policy,Bank of Canada Interest Rate Announcement,,2024-09-04,0,data\BOC\Monetary Policy\2024-09-04 - Bank of Canada Interest Rate Announcement.txt,https://www.bankofcanada.ca/2024/09/bank-canada-interest-rate-announcement-september-4-2024/,anchor_statement,1.0
BOC_2024_09,BOC,2024-09-04,DOC_81340A81C5C6,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2024-09-10,6,"data\BOC\Speeches\2024-09-10 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2024/09/speech-tiff-macklem-september-10-2024/,speech_after_meeting,0.7
BOC_2024_09,BOC,2024-09-04,DOC_35F68B0A2842,speech,Speeches,"Speech by Nicolas Vincent, External Deputy Governor of the Bank of Canada",Nicolas Vincent,2024-09-19,15,"data\BOC\Speeches\2024-09-19 - Nicolas Vincent - Speech by Nicolas Vincent, External Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2024/09/speech-nicolas-vincent-external-deputy-governor-september-19-2024/,speech_after_meeting,0.7
BOC_2024_09,BOC,2024-09-04,DOC_CB49EE1844F4,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2024-09-20,16,"data\BOC\Speeches\2024-09-20 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2024/09/speech-tiff-macklem-governor-september-20-2024/,speech_after_meeting,0.7
BOC_2024_10,BOC,2024-10-23,DOC_BFFB7A606DCD,statement,Monetary Policy,Monetary Policy Report,,2024-10-23,0,data\BOC\Monetary Policy\2024-10-23 - Monetary Policy Report.txt,https://www.bankofcanada.ca/publications/mpr/mpr-2024-10-23/,anchor_statement,1.0
BOC_2024_10,BOC,2024-10-23,DOC_D1EC23BCC82A,speech,Speeches,"Speech by Carolyn Rogers, Senior Deputy Governor of the Bank of Canada",Carolyn Rogers,2024-11-06,14,"data\BOC\Speeches\2024-11-06 - Carolyn Rogers - Speech by Carolyn Rogers, Senior Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2024/11/speech-carolyn-rogers-november-6-2024/,speech_after_meeting,0.7
