bank,category,title,date_au,speaker,source_url,raw_file_path,text_file_path,document_type,status,scraped_at,raw_file,text_file,document,date,date_parse_failed,doc_id,document_subtype,in_date_range,is_meeting_anchor,meeting_id,meeting_relation,meeting_date,days_after_meeting,linkage_confidence,linkage_reason
BOC,Monetary Policy,Bank of Canada Interest Rate Announcement,2025-06-04,,https://www.bankofcanada.ca/2025/06/bank-canada-interest-rate-announcement-june-4-2025/,data\BOC\Monetary Policy\2025-06-04 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-06-04 - Bank of Canada Interest Rate Announcement.txt,html,success,2026-06-03T12:56:37,data\BOC\Monetary Policy\2025-06-04 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-06-04 - Bank of Canada Interest Rate Announcement.txt,html,2025-06-04,False,DOC_CC9B4BF65709,statement,True,True,BOC_2025_06,anchor_statement,2025-06-04,0,1.0,Document is an official meeting anchor.
BOC,Monetary Policy,Bank of Canada Interest Rate Announcement,2024-09-04,,https://www.bankofcanada.ca/2024/09/bank-canada-interest-rate-announcement-september-4-2024/,data\BOC\Monetary Policy\2024-09-04 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2024-09-04 - Bank of Canada Interest Rate Announcement.txt,html,success,2026-06-03T12:56:46,data\BOC\Monetary Policy\2024-09-04 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2024-09-04 - Bank of Canada Interest Rate Announcement.txt,html,2024-09-04,False,DOC_01B6D5B757F1,statement,True,True,BOC_2024_09,anchor_statement,2024-09-04,0,1.0,Document is an official meeting anchor.
BOC,Monetary Policy,Bank of Canada Interest Rate Announcement,2024-06-05,,https://www.bankofcanada.ca/2024/06/bank-canada-interest-rate-announcement-june-5-2024/,data\BOC\Monetary Policy\2024-06-05 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2024-06-05 - Bank of Canada Interest Rate Announcement.txt,html,success,2026-06-03T12:56:48,data\BOC\Monetary Policy\2024-06-05 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2024-06-05 - Bank of Canada Interest Rate Announcement.txt,html,2024-06-05,False,DOC_F1EAD218ED7F,statement,True,True,BOC_2024_06_A,anchor_statement,2024-06-05,0,1.0,Document is an official meeting anchor.
BOC,Monetary Policy,Monetary Policy Report,2024-06-07,,https://www.bankofcanada.ca/publications/mpr/mpr-2024-07/,data\BOC\Monetary Policy\2024-06-07 - Monetary Policy Report.html,data\BOC\Monetary Policy\2024-06-07 - Monetary Policy Report.txt,html,success,2026-06-03T12:56:43,data\BOC\Monetary Policy\2024-06-07 - Monetary Policy Report.html,data\BOC\Monetary Policy\2024-06-07 - Monetary Policy Report.txt,html,2024-06-07,False,DOC_DDE4C277C3C8,statement,True,True,BOC_2024_06_B,anchor_statement,2024-06-07,0,1.0,Document is an official meeting anchor.
BOC,Monetary Policy,Bank of Canada Interest Rate Announcement,2025-12-10,,https://www.bankofcanada.ca/2025/12/bank-of-canada-interest-rate-announcement-2025-12-10/,data\BOC\Monetary Policy\2025-12-10 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-12-10 - Bank of Canada Interest Rate Announcement.txt,html,success,2026-06-03T12:56:24,data\BOC\Monetary Policy\2025-12-10 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-12-10 - Bank of Canada Interest Rate Announcement.txt,html,2025-12-10,False,DOC_58B67E58A9A5,statement,True,True,BOC_2025_12_A,anchor_statement,2025-12-10,0,1.0,Document is an official meeting anchor.
BOC,Monetary Policy,Interest Rate Announcement,2025-12-10,,https://www.bankofcanada.ca/2025/12/interest-rate-announcement-december-10-2025/,data\BOC\Monetary Policy\2025-12-10 - Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-12-10 - Interest Rate Announcement.txt,html,success,2026-06-03T12:56:34,data\BOC\Monetary Policy\2025-12-10 - Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-12-10 - Interest Rate Announcement.txt,html,2025-12-10,False,DOC_847F032FCF63,statement,True,True,BOC_2025_12_B,anchor_statement,2025-12-10,0,1.0,Document is an official meeting anchor.
BOC,Monetary Policy,Bank of Canada Interest Rate Announcement,2024-12-11,,https://www.bankofcanada.ca/2024/12/bank-canada-interest-rate-announcement-december-11-2024/,data\BOC\Monetary Policy\2024-12-11 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2024-12-11 - Bank of Canada Interest Rate Announcement.txt,html,success,2026-06-03T12:56:44,data\BOC\Monetary Policy\2024-12-11 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2024-12-11 - Bank of Canada Interest Rate Announcement.txt,html,2024-12-11,False,DOC_E3C08C98EC76,statement,True,True,BOC_2024_12,anchor_statement,2024-12-11,0,1.0,Document is an official meeting anchor.
BOC,Monetary Policy,Bank of Canada Interest Rate Announcement,2025-03-12,,https://www.bankofcanada.ca/2025/03/bank-canada-interest-rate-announcement-march-12-2025/,data\BOC\Monetary Policy\2025-03-12 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-03-12 - Bank of Canada Interest Rate Announcement.txt,html,success,2026-06-03T12:56:39,data\BOC\Monetary Policy\2025-03-12 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-03-12 - Bank of Canada Interest Rate Announcement.txt,html,2025-03-12,False,DOC_779D85D625B8,statement,True,True,BOC_2025_03,anchor_statement,2025-03-12,0,1.0,Document is an official meeting anchor.
BOC,Monetary Policy,Monetary Policy Report,2025-04-16,,https://www.bankofcanada.ca/publications/mpr/mpr-2025-04-16/,data\BOC\Monetary Policy\2025-04-16 - Monetary Policy Report.html,data\BOC\Monetary Policy\2025-04-16 - Monetary Policy Report.txt,html,success,2026-06-03T12:56:30,data\BOC\Monetary Policy\2025-04-16 - Monetary Policy Report.html,data\BOC\Monetary Policy\2025-04-16 - Monetary Policy Report.txt,html,2025-04-16,False,DOC_0991EB1A9864,statement,True,True,BOC_2025_04,anchor_statement,2025-04-16,0,1.0,Document is an official meeting anchor.
BOC,Monetary Policy,Bank of Canada Interest Rate Announcement,2025-09-17,,https://www.bankofcanada.ca/2025/09/bank-canada-interest-rate-announcement-september-17-2025/,data\BOC\Monetary Policy\2025-09-17 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-09-17 - Bank of Canada Interest Rate Announcement.txt,html,success,2026-06-03T12:56:35,data\BOC\Monetary Policy\2025-09-17 - Bank of Canada Interest Rate Announcement.html,data\BOC\Monetary Policy\2025-09-17 - Bank of Canada Interest Rate Announcement.txt,html,2025-09-17,False,DOC_9557ADF0277D,statement,True,True,BOC_2025_09,anchor_statement,2025-09-17,0,1.0,Document is an official meeting anchor.
