meeting_id,bank,meeting_date,year,month,anchor_doc_id,anchor_title,anchor_text_file,next_meeting_date,meeting_window_start,meeting_window_end
FED_2021_01,FED,2021-01-27,2021,1,FED_DOC_B9CDE799F003,FOMC statement,data\FED\Monetary Policy\2021-01-27 - FOMC statement.txt,2021-03-17,2021-01-27,2021-03-16
FED_2021_03,FED,2021-03-17,2021,3,FED_DOC_F1DF90B22339,FOMC statement,data\FED\Monetary Policy\2021-03-17 - FOMC statement.txt,2021-04-28,2021-03-17,2021-04-27
FED_2021_04,FED,2021-04-28,2021,4,FED_DOC_B766A2A61F74,FOMC statement,data\FED\Monetary Policy\2021-04-28 - FOMC statement.txt,2021-06-16,2021-04-28,2021-06-15
FED_2021_06,FED,2021-06-16,2021,6,FED_DOC_AF698697F313,FOMC statement,data\FED\Monetary Policy\2021-06-16 - FOMC statement.txt,2021-07-28,2021-06-16,2021-07-27
FED_2021_07,FED,2021-07-28,2021,7,FED_DOC_F83A81E665B0,FOMC statement,data\FED\Monetary Policy\2021-07-28 - FOMC statement.txt,2021-09-22,2021-07-28,2021-09-21
FED_2021_09,FED,2021-09-22,2021,9,FED_DOC_EBC59530A876,FOMC statement,data\FED\Monetary Policy\2021-09-22 - FOMC statement.txt,2021-11-03,2021-09-22,2021-11-02
FED_2021_11,FED,2021-11-03,2021,11,FED_DOC_A25BBF08463A,FOMC statement,data\FED\Monetary Policy\2021-11-03 - FOMC statement.txt,2021-12-15,2021-11-03,2021-12-14
FED_2021_12,FED,2021-12-15,2021,12,FED_DOC_D4AC23A3E0CB,FOMC statement,data\FED\Monetary Policy\2021-12-15 - FOMC statement.txt,2022-01-26,2021-12-15,2022-01-25
FED_2022_01,FED,2022-01-26,2022,1,FED_DOC_6EA63600B6E6,FOMC statement,data\FED\Monetary Policy\2022-01-26 - FOMC statement.txt,2022-03-16,2022-01-26,2022-03-15
FED_2022_03,FED,2022-03-16,2022,3,FED_DOC_1B8FFEA724BB,FOMC statement,data\FED\Monetary Policy\2022-03-16 - FOMC statement.txt,2022-05-04,2022-03-16,2022-05-03
FED_2022_05,FED,2022-05-04,2022,5,FED_DOC_01ECCF02DE6D,FOMC statement,data\FED\Monetary Policy\2022-05-04 - FOMC statement.txt,2022-06-15,2022-05-04,2022-06-14
FED_2022_06,FED,2022-06-15,2022,6,FED_DOC_A83DEA2795D6,FOMC statement,data\FED\Monetary Policy\2022-06-15 - FOMC statement.txt,2022-07-27,2022-06-15,2022-07-26
FED_2022_07,FED,2022-07-27,2022,7,FED_DOC_9F659D82DDEA,FOMC statement,data\FED\Monetary Policy\2022-07-27 - FOMC statement.txt,2022-09-21,2022-07-27,2022-09-20
