meeting_id,bank,meeting_date,meeting_score,classification,lean,average_document_score,average_confidence,statement_score,minutes_score,press_conference_score,sep_score,speech_avg_score,documents_scored,zero_match_documents
FED_2021_01,FED,2021-01-27,2.4428228645888206,Neutral-Hawkish,hawkish,0.7065989747490711,0.10027272727272728,2.0,3.7725887222397816,,,0.2222222222222222,11,8
FED_2021_03,FED,2021-03-17,2.9086764730490904,Neutral-Hawkish,hawkish,1.0198978022607454,0.12254545454545455,2.0,5.218875824868201,,,0.4444444444444444,11,7
FED_2021_04,FED,2021-04-28,1.982087225872114,Neutral-Hawkish,hawkish,0.9382480444104785,0.19092307692307692,2.0,2.19722457733622,,,0.7272727272727273,13,5
FED_2021_06,FED,2021-06-16,3.861283643967466,Hawkish,hawkish,1.7939626599151999,0.16219999999999998,3.386294361119891,5.58351893845611,,,0.0,5,3
FED_2021_07,FED,2021-07-28,3.553990609209883,Hawkish,hawkish,1.62279668733201,0.18933333333333333,2.0,7.218875824868201,,,0.7694706230171272,9,5
FED_2021_09,FED,2021-09-22,4.48175909561526,Hawkish,hawkish,1.2389012625637406,0.1627333333333333,5.0,4.19722457733622,,,0.7220226431630685,15,9
FED_2021_11,FED,2021-11-03,6.316889708649089,Hawkish,hawkish,2.0594299017107525,0.23461538461538464,5.0,10.0,,,1.0702353383854346,13,6
FED_2021_12,FED,2021-12-15,4.123265360835138,Hawkish,hawkish,4.798149718224146,0.5703333333333332,2.0,8.39444915467244,,,4.0,3,0
FED_2022_01,FED,2022-01-26,4.577671985409692,Hawkish,hawkish,3.3332698901100883,0.31266666666666665,3.386294361119891,7.41610040220442,,,2.299306144334055,6,2
FED_2022_03,FED,2022-03-16,5.4209605082137085,Hawkish,hawkish,1.7296264847046456,0.3865,6.386294361119891,4.605170185988092,,,-0.1534264097200273,6,1
FED_2022_05,FED,2022-05-04,7.55,Hawkish,hawkish,3.0,0.3111428571428571,7.0,10.0,,,0.8,7,3
FED_2022_06,FED,2022-06-15,8.460183975699932,Strongly Hawkish,hawkish,3.4232867951399863,0.37124999999999997,8.38629436111989,10.0,,,1.5,8,3
FED_2022_07,FED,2022-07-27,7.536395170971244,Hawkish,hawkish,2.199146454710798,0.2808,7.0,9.991464547107983,,,0.625,10,5
FED_2022_09,FED,2022-09-21,7.609375,Hawkish,hawkish,2.7142857142857144,0.2815714285714286,7.0,10.0,,,1.75,14,6
FED_2022_11,FED,2022-11-02,7.631188814112142,Hawkish,hawkish,3.5214607978399943,0.33333333333333326,7.0,10.0,,,2.099021025794278,9,4
FED_2022_12,FED,2022-12-14,7.6073630502025,Hawkish,hawkish,3.4133566024300066,0.40587500000000004,7.0,10.0,,,1.7178088032400092,8,1
FED_2023_02,FED,2023-02-01,5.054095283130833,Hawkish,hawkish,1.6704495972228492,0.18014285714285713,3.0,10.0,,,0.8655245300933242,14,8
FED_2023_03,FED,2023-03-22,9.4237699939685,Strongly Hawkish,hawkish,2.1987322260350854,0.2764615384615384,10.0,10.0,,,0.7803199034960101,13,6
FED_2023_05,FED,2023-05-03,9.410211503280319,Strongly Hawkish,hawkish,2.0151711213335557,0.26615384615384613,10.0,10.0,,,0.5633840524851109,13,6
FED_2023_06,FED,2023-06-14,8.518400963549897,Strongly Hawkish,hawkish,2.215888308335967,0.20299999999999999,9.0,9.158883083359672,,,0.5,10,5
FED_2023_07,FED,2023-07-26,8.829828679513998,Strongly Hawkish,hawkish,3.6266134801599845,0.34142857142857136,9.0,10.0,,,1.2772588722239782,7,2
FED_2023_09,FED,2023-09-20,8.811048195388041,Strongly Hawkish,hawkish,1.6586294361119895,0.18952,9.0,10.0,,,0.9767711262086839,25,14
FED_2023_11,FED,2023-11-01,8.84773564975668,Strongly Hawkish,hawkish,2.3573933564961975,0.22519999999999998,9.0,10.0,,,1.5637703961068858,20,10
FED_2023_12,FED,2023-12-13,6.27041957530375,Hawkish,hawkish,2.717808803240009,0.30783333333333335,5.0,10.0,,,0.32671320486001365,6,2
FED_2024_01,FED,2024-01-31,5.352441245346685,Hawkish,hawkish,0.6666962213990503,0.2093684210526316,4.386294361119891,8.356107660695892,,,-0.004421989131401617,19,8
FED_2024_03,FED,2024-03-20,4.195125103516469,Hawkish,hawkish,2.247518558337117,0.25815384615384623,4.386294361119891,4.278114659230518,,,1.8684847489120102,13,5
FED_2024_05,FED,2024-05-01,4.623843603975985,Hawkish,hawkish,0.7369700569950469,0.1874761904761905,4.386294361119891,5.969813299576002,,,0.2694875545368469,21,12
FED_2024_06,FED,2024-06-12,4.289829125920515,Hawkish,hawkish,0.7476045546401094,0.20305,4.386294361119891,4.891820298110627,,,0.31522091297620397,20,10
FED_2024_07,FED,2024-07-31,-0.5227000025875257,Neutral-Dovish,dovish,-0.01383664023133715,0.22430000000000003,0.3862943611198908,-2.494474063009264,,,0.2462266624470002,10,4
FED_2024_09,FED,2024-09-18,0.8157468350956393,Neutral-Hawkish,hawkish,0.22754319164337,0.2281904761904762,-0.1890697837836708,2.96747680829444,,,0.10526315789473684,21,8
FED_2024_11,FED,2024-11-07,0.864320660637047,Neutral-Hawkish,hawkish,-0.8071286748127287,0.2734,1.3862943611198908,0.23556607131276763,,,-1.2116433975699932,10,2
FED_2024_12,FED,2024-12-18,1.0296294960621784,Neutral-Hawkish,hawkish,1.4832200804408842,0.3346,2.7725887222397816,-2.7427826811552514,,,2.462098120373297,5,1
FED_2025_01,FED,2025-01-29,4.313496326526018,Hawkish,hawkish,1.5470922726741283,0.24047619047619045,3.386294361119891,6.795790545596741,,,1.1740448852336869,21,7
FED_2025_03,FED,2025-03-19,4.615313009145885,Hawkish,hawkish,1.0614992851119307,0.25194736842105264,3.386294361119891,7.891820298110627,,,0.5229630445821274,19,9
FED_2025_05,FED,2025-05-07,4.514053444547013,Hawkish,hawkish,0.9243729845599243,0.22452380952380951,3.386294361119891,7.58351893845611,,,0.4443168092727585,21,8
FED_2025_06,FED,2025-06-18,4.85341535028597,Hawkish,hawkish,1.5698548637948964,0.20185714285714282,3.386294361119891,8.591673732008658,,,0.8333333333333334,14,6
FED_2025_07,FED,2025-07-30,2.4604218827741344,Neutral-Hawkish,hawkish,1.6991464547107982,0.27399999999999997,1.09861228866811,5.407945608651872,,,1.3408991944456987,10,3
FED_2025_09,FED,2025-09-17,1.9792436217047027,Neutral-Hawkish,hawkish,-0.05665924246175557,0.15875999999999998,0.8109302162163292,4.772588722239782,,,-0.30434782608695654,25,15
FED_2025_10,FED,2025-10-29,3.117999462845891,Hawkish,hawkish,0.17890744081964355,0.16760000000000003,1.3862943611198908,7.297317251174762,,,-0.46153846153846156,15,8
FED_2025_12,FED,2025-12-10,3.981017309033265,Hawkish,hawkish,1.2982867951399863,0.249375,1.3862943611198908,10.0,,,-0.16666666666666666,8,3
FED_2026_01,FED,2026-01-28,1.9470403917072547,Neutral-Hawkish,hawkish,0.28381448792298325,0.17233333333333337,2.19722457733622,1.8325814637483102,,,0.017493175212324494,15,7
FED_2026_03,FED,2026-03-18,3.0197890561064504,Hawkish,hawkish,0.74400717158603,0.132,2.19722457733622,5.218875824868201,,,0.25,14,9
FED_2026_04,FED,2026-04-29,2.4027930394239645,Neutral-Hawkish,hawkish,1.1810899335944602,0.1905333333333333,2.7725887222397816,1.9437602816771236,,,1.0,15,7
