bank,speaker,documents_scored,average_score,average_confidence,latest_date,latest_score,most_hawkish_score,most_dovish_score
FED,Inflation Expectations and Monetary Policymaking,1,10.0,0.603,2025-04-02,10.0,10.0,10.0
FED,Transmission of Monetary Policy,1,7.583518938456111,0.72,2025-04-22,7.583518938456111,7.583518938456111,7.583518938456111
FED,The Case for Cutting Now,1,5.0,0.514,2025-07-17,5.0,5.0,5.0
FED,Watch Live,3,4.666666666666667,0.39033333333333337,2026-05-29,10.0,10.0,0.0
FED,Financial Stability in Uncertain Times,1,4.0,0.596,2023-10-11,4.0,4.0,4.0
FED,Monetary Policy and Financial Stability,1,3.0,0.361,2023-10-02,3.0,3.0,3.0
FED,Something Appears to Be Giving,1,2.90138771133189,0.402,2023-11-28,2.90138771133189,2.90138771133189,2.90138771133189
FED,Richard H. Clarida,12,2.513240256946639,0.32425000000000004,2021-11-30,2.0,3.386294361119891,2.0
FED,Entrepreneurship and Aggregate Productivity,1,2.0,0.252,2025-02-07,2.0,2.0,2.0
FED,Measuring Financial Health,1,2.0,0.302,2026-05-20,2.0,2.0,2.0
FED,Michelle W. Bowman,81,1.3476345656526392,0.2024074074074074,2026-05-08,0.0,10.0,-1.6931471805599454
FED,Economic Outlook,6,1.2310490601866484,0.34099999999999997,2026-02-04,2.0,3.386294361119891,-4.0
FED,Christopher J. Waller,56,1.090697515756078,0.2078392857142857,2026-05-08,0.0,8.828313737302302,-2.6094379124341005
FED,Closing Thoughts,1,1.0,0.421,2025-09-23,1.0,1.0,1.0
FED,Randal K. Quarles,9,0.8888888888888888,0.13244444444444445,2021-12-02,0.0,4.0,0.0
FED,Philip N. Jefferson,35,0.6070422691026303,0.31300000000000006,2026-05-27,2.0,9.969813299576002,-7.386294361119891
FED,The Time Has Come,1,0.3862943611198908,0.207,2024-09-06,0.3862943611198908,0.3862943611198908,0.3862943611198908
FED,Jerome H. Powell,41,0.3714002750673224,0.15795121951219512,2026-03-21,0.0,8.0,-6.386294361119891
FED,The Future of Banking,1,0.3068528194400546,0.197,2024-02-02,0.3068528194400546,0.3068528194400546,0.3068528194400546
FED,Opening Remarks,16,0.25,0.0355625,2026-05-14,0.0,3.0,0.0
FED,Lisa D. Cook,29,0.2413793103448276,0.12582758620689655,2026-05-27,0.0,4.0,-2.0
FED,Michael S. Barr,31,0.22580645161290322,0.0647741935483871,2026-05-14,0.0,4.0,-2.0
FED,Lael Brainard,26,0.12718664690154055,0.11046153846153846,2023-01-19,4.306852819440055,4.306852819440055,-4.0
FED,Adriana D. Kugler,16,0.10085660243000683,0.33087500000000003,2025-07-17,0.0,7.0,-6.693147180559945
